project_name,total_contributors,config_contributors,non_config_contributors,config_contributors_percentage,total_commits,total_config_commits,total_non_config_commits,config_commits_percentage,avg_commits_per_contributor,avg_config_commits_per_contributor,avg_config_commits_per_config_contributor,unique_config_files_count
1Panel,89,33,56,37.08,3672,707,2965,19.25,41.26,7.94,21.42,186
3x-ui,132,76,56,57.58,1832,451,1381,24.62,13.88,3.42,5.93,34
APIJSON,92,19,73,20.65,3320,298,3022,8.98,36.09,3.24,15.68,122
AdGuardHome,118,50,68,42.37,4293,1145,3148,26.67,36.38,9.70,22.90,93
AdminLTE,128,26,102,20.31,2708,992,1716,36.63,21.16,7.75,38.15,83
Aerial,65,12,53,18.46,1384,271,1113,19.58,21.29,4.17,22.58,29
AgentGPT,86,44,42,51.16,1500,391,1109,26.07,17.44,4.55,8.89,469
Alamofire,291,19,272,6.53,1657,193,1464,11.65,5.69,0.66,10.16,32
AnotherRedisDesktopManager,45,7,38,15.56,868,220,648,25.35,19.29,4.89,31.43,17
Anuken_Mindustry,1087,898,189,82.61,19550,9064,10486,46.36,17.99,8.34,10.09,447
Apktool,142,39,103,27.46,2241,472,1769,21.06,15.78,3.32,12.10,30
Apollo-11,212,4,208,1.89,574,31,543,5.40,2.71,0.15,7.75,9
AppFlowy-IO_AppFlowy,424,287,137,67.69,7202,3114,4088,43.24,16.99,7.34,10.85,810
ArchiveBox,159,41,118,25.79,4645,959,3686,20.65,29.21,6.03,23.39,202
Avalonia,699,126,573,18.03,27197,1781,25416,6.55,38.91,2.55,14.13,71
BabylonJS_Babylon.js,898,289,609,32.18,46130,7318,38812,15.86,51.37,8.15,25.32,487
Bend,59,19,40,32.20,2133,289,1844,13.55,36.15,4.90,15.21,10
Bilibili-Evolved,86,24,62,27.91,8440,1979,6461,23.45,98.14,23.01,82.46,58
BitNet,25,2,23,8.00,76,2,74,2.63,3.04,0.08,1.00,6
Budibase_budibase,174,105,69,60.34,46987,16308,30679,34.71,270.04,93.72,155.31,3243
CasaOS,34,17,17,50.00,682,187,495,27.42,20.06,5.50,11.00,29
Catch2,444,21,423,4.73,4594,144,4450,3.13,10.35,0.32,6.86,16
Chart.js,553,62,491,11.21,4567,605,3962,13.25,8.26,1.09,9.76,37
Charts,208,18,190,8.65,1856,93,1763,5.01,8.92,0.45,5.17,18
Chat2DB,74,36,38,48.65,3877,1103,2774,28.45,52.39,14.91,30.64,130
ChatTTS,57,4,53,7.02,421,38,383,9.03,7.39,0.67,9.50,7
ChromeAppHeroes,7,5,2,71.43,844,145,699,17.18,120.57,20.71,29.00,452
Clash-for-Windows_Chinese,4,3,1,75.00,592,35,557,5.91,148.00,8.75,11.67,261
CodeEdit,166,36,130,21.69,2146,266,1880,12.40,12.93,1.60,7.39,63
ColossalAI,264,67,197,25.38,3840,418,3422,10.89,14.55,1.58,6.24,153
ComfyUI,253,23,230,9.09,3645,216,3429,5.93,14.41,0.85,9.39,90
CopilotKit_CopilotKit,142,44,98,30.99,3859,1552,2307,40.22,27.18,10.93,35.27,703
CyberChef,239,134,105,56.07,4172,1616,2556,38.73,17.46,6.76,12.06,20
CymChad_BaseRecyclerViewAdapterHelper,70,39,31,55.71,1568,328,1240,20.92,22.40,4.69,8.41,10
Dapper,263,20,243,7.60,1610,225,1385,13.98,6.12,0.86,11.25,18
Deep-Live-Cam,59,12,47,20.34,461,27,434,5.86,7.81,0.46,2.25,12
DeepSeek-V3,29,4,25,13.79,68,4,64,5.88,2.34,0.14,1.00,4
DeepSpeech,186,31,155,16.67,3467,722,2745,20.82,18.64,3.88,23.29,151
DeepSpeed,442,61,381,13.80,2851,431,2420,15.12,6.45,0.98,7.07,56
DoKit,188,83,105,44.15,2349,600,1749,25.54,12.49,3.19,7.23,391
Docker-OSX,57,18,39,31.58,500,236,264,47.20,8.77,4.14,13.11,16
Dokploy_dokploy,268,129,139,48.13,4312,1597,2715,37.04,16.09,5.96,12.38,474
Ehviewer_CN_SXJ,19,16,3,84.21,821,186,635,22.66,43.21,9.79,11.62,83
ExplorerPatcher,15,7,8,46.67,948,42,906,4.43,63.20,2.80,6.00,13
FFmpeg,2604,28,2576,1.08,120055,83,119972,0.07,46.10,0.03,2.96,2
FastChat,253,37,216,14.62,890,137,753,15.39,3.52,0.54,3.70,26
FastGPT,161,63,98,39.13,2397,936,1461,39.05,14.89,5.81,14.86,467
Files,348,43,305,12.36,6360,301,6059,4.73,18.28,0.86,7.00,56
FiraCode,132,9,123,6.82,612,27,585,4.41,4.64,0.20,3.00,4
FlClash,3,2,1,66.67,190,131,59,68.95,63.33,43.67,65.50,32
Flowise,264,117,147,44.32,3023,1133,1890,37.48,11.45,4.29,9.68,178
Folo,156,77,79,49.36,5403,1550,3853,28.69,34.63,9.94,20.13,565
FreeTubeApp_FreeTube,752,675,77,89.76,9379,7626,1753,81.31,12.47,10.14,11.30,227
GPT-SoVITS,105,25,80,23.81,991,110,881,11.10,9.44,1.05,4.40,75
GSAP,4,3,1,75.00,184,104,80,56.52,46.00,26.00,34.67,3
GSYVideoPlayer,30,9,21,30.00,1627,341,1286,20.96,54.23,11.37,37.89,44
Genesis,74,18,56,24.32,608,84,524,13.82,8.22,1.14,4.67,34
GoogleChrome_lighthouse,409,166,243,40.59,6462,2495,3967,38.61,15.80,6.10,15.03,315
GyulyVGC_sniffnet,87,25,62,28.74,2510,817,1693,32.55,28.85,9.39,32.68,187
HanLP,56,5,51,8.93,1795,102,1693,5.68,32.05,1.82,20.40,8
HandBrake,186,35,151,18.82,13032,693,12339,5.32,70.06,3.73,19.80,68
HikariCP,169,28,141,16.57,2964,568,2396,19.16,17.54,3.36,20.29,18
HumanSignal_label-studio,182,89,93,48.90,5625,2825,2800,50.22,30.91,15.52,31.74,586
Hyprland,559,51,508,9.12,6283,304,5979,4.84,11.24,0.54,5.96,31
ILSpy,180,18,162,10.00,8112,352,7760,4.34,45.07,1.96,19.56,29
IOPaint,27,7,20,25.93,921,137,784,14.88,34.11,5.07,19.57,22
Ice,12,1,11,8.33,1138,40,1098,3.51,94.83,3.33,40.00,31
ImHex,184,55,129,29.89,5323,709,4614,13.32,28.93,3.85,12.89,164
Infisical_infisical,278,138,140,49.64,16012,3830,12182,23.92,57.60,13.78,27.75,578
Inquirer.js,257,58,199,22.57,1810,770,1040,42.54,7.04,3.00,13.28,135
Iosevka,89,35,54,39.33,5255,2299,2956,43.75,59.04,25.83,65.69,41
Jobs_Applier_AI_Agent_AIHawk,10,2,8,20.00,59,2,57,3.39,5.90,0.20,1.00,14
KaTeX,190,51,139,26.84,2189,632,1557,28.87,11.52,3.33,12.39,40
Karabiner-Elements,52,19,33,36.54,7207,681,6526,9.45,138.60,13.10,35.84,1034
Kingfisher,252,8,244,3.17,3140,239,2901,7.61,12.46,0.95,29.88,81
Kong_insomnia,379,114,265,30.08,5798,2423,3375,41.79,15.30,6.39,21.25,780
LLMs-from-scratch,50,10,40,20.00,893,106,787,11.87,17.86,2.12,10.60,33
LLaMA-Factory,234,54,180,23.08,2905,398,2507,13.70,12.41,1.70,7.37,160
Langchain-Chatchat,192,32,160,16.67,2419,266,2153,11.00,12.60,1.39,8.31,812
LazyVim,298,8,290,2.68,2709,137,2572,5.06,9.09,0.46,17.12,18
Leaflet,1043,51,992,4.89,7919,670,7249,8.46,7.59,0.64,13.14,19
LibreChat,248,81,167,32.66,2825,975,1850,34.51,11.39,3.93,12.04,188
LightRAG,191,40,151,20.94,3992,293,3699,7.34,20.90,1.53,7.33,56
LocalAI,149,46,103,30.87,4256,1688,2568,39.66,28.56,11.33,36.70,253
LunarVim,338,36,302,10.65,2676,290,2386,10.84,7.92,0.86,8.06,34
MMKV,61,13,48,21.31,1677,230,1447,13.71,27.49,3.77,17.69,87
MPAndroidChart,90,24,66,26.67,2072,247,1825,11.92,23.02,2.74,10.29,10
MagicMirror,434,189,245,43.55,4920,1452,3468,29.51,11.34,3.35,7.68,119
Magisk,385,246,139,63.90,7312,2030,5282,27.76,18.99,5.27,8.25,55
MediaCrawler,68,6,62,8.82,511,13,498,2.54,7.51,0.19,2.17,6
MetaGPT,193,83,110,43.01,6354,827,5527,13.02,32.92,4.28,9.96,265
MinerU,82,36,46,43.90,3290,667,2623,20.27,40.12,8.13,18.53,88
MiniCPM-o,47,5,42,10.64,538,13,525,2.42,11.45,0.28,2.60,20
Mobile-Security-Framework-MobSF,116,36,80,31.03,2012,547,1465,27.19,17.34,4.72,15.19,86
MoneyPrinterTurbo,37,19,18,51.35,460,139,321,30.22,12.43,3.76,7.32,19
NaiboWang_EasySpider,22,12,10,54.55,656,358,298,54.57,29.82,16.27,29.83,2203
NationalSecurityAgency_ghidra,403,43,360,10.67,15780,1141,14639,7.23,39.16,2.83,26.53,83
NativeScript_NativeScript,341,125,216,36.66,7602,2211,5391,29.08,22.29,6.48,17.69,625
NervJS_taro,906,232,674,25.61,14293,4115,10178,28.79,15.78,4.54,17.74,437
NewPipe,1101,910,191,82.65,11660,7019,4641,60.20,10.59,6.38,7.71,31
NextChat,327,85,242,25.99,3053,517,2536,16.93,9.34,1.58,6.08,32
NginxProxyManager_nginx-proxy-manager,252,143,109,56.75,2025,846,1179,41.78,8.04,3.36,5.92,284
NvChad,221,14,207,6.33,1737,36,1701,2.07,7.86,0.16,2.57,19
OCRmyPDF,122,19,103,15.57,4020,539,3481,13.41,32.95,4.42,28.37,22
OI-wiki,1240,187,1053,15.08,12097,1303,10794,10.77,9.76,1.05,6.97,200
OSX-KVM,15,3,12,20.00,40,8,32,20.00,2.67,0.53,2.67,1
OmniParser,14,7,7,50.00,147,12,135,8.16,10.50,0.86,1.71,9
OpenAPI-Specification,285,92,193,32.28,3338,918,2420,27.50,11.71,3.22,9.98,321
OpenAPITools_openapi-generator,3685,1180,2505,32.02,21599,6655,14944,30.81,5.86,1.81,5.64,4772
OpenBB-finance_OpenBB,285,123,162,43.16,6746,2282,4464,33.83,23.67,8.01,18.55,986
OpenClash,82,12,70,14.63,2864,235,2629,8.21,34.93,2.87,19.58,55
OpenHands,374,127,247,33.96,4873,1450,3423,29.76,13.03,3.88,11.42,178
OpenManus,70,30,40,42.86,462,116,346,25.11,6.60,1.66,3.87,27
OpenVoice,20,1,19,5.00,126,1,125,0.79,6.30,0.05,1.00,0
PDFMathTranslate,66,23,43,34.85,1068,270,798,25.28,16.18,4.09,11.74,26
PHPMailer,315,29,286,9.21,2508,334,2174,13.32,7.96,1.06,11.52,11
PaddleOCR,317,107,210,33.75,6647,1150,5497,17.30,20.97,3.63,10.75,339
Perplexica,36,11,25,30.56,510,121,389,23.73,14.17,3.36,11.00,16
PicGo,21,6,15,28.57,536,201,335,37.50,25.52,9.57,33.50,17
PostHog_posthog,429,197,232,45.92,29197,6330,22867,21.68,68.06,14.76,32.13,1051
PowerShell_PowerShell,625,136,489,21.76,11192,2187,9005,19.54,17.91,3.50,16.08,348
PowerToys,620,140,480,22.58,8064,837,7227,10.38,13.01,1.35,5.98,251
PrefectHQ_prefect,428,163,265,38.08,19702,5824,13878,29.56,46.03,13.61,35.73,437
Proton,104,5,99,4.81,2231,23,2208,1.03,21.45,0.22,4.60,6
QuickLook,79,3,76,3.80,1199,64,1135,5.34,15.18,0.81,21.33,5
Qwen,47,9,38,19.15,509,24,485,4.72,10.83,0.51,2.67,9
Qwen3,58,10,48,17.24,300,34,266,11.33,5.17,0.59,3.40,21
RSSHub,1604,116,1488,7.23,14705,4875,9830,33.15,9.17,3.04,42.03,75
ReactiveX_RxSwift,464,38,426,8.19,3716,219,3497,5.89,8.01,0.47,5.76,9
Real-Time-Voice-Cloning,22,2,20,9.09,299,3,296,1.00,13.59,0.14,1.50,2
Rectangle,159,8,151,5.03,1299,34,1265,2.62,8.17,0.21,4.25,56
RevokeMsgPatcher,7,2,5,28.57,281,91,190,32.38,40.14,13.00,45.50,19
Rocket,323,76,247,23.53,2452,682,1770,27.81,7.59,2.11,8.97,113
RustPython,592,157,435,26.52,14617,1684,12933,11.52,24.69,2.84,10.73,69
RxJava,361,37,324,10.25,6234,442,5792,7.09,17.27,1.22,11.95,16
SDWebImage,358,15,343,4.19,3700,179,3521,4.84,10.34,0.50,11.93,45
Sa-Token,153,35,118,22.88,2416,551,1865,22.81,15.79,3.60,15.74,248
Scrapegraph-ai,120,36,84,30.00,2756,1112,1644,40.35,22.97,9.27,30.89,66
ScreenToGif,126,3,123,2.38,1323,14,1309,1.06,10.50,0.11,4.67,2
Seal,45,21,24,46.67,1428,668,760,46.78,31.73,14.84,31.81,20
SeleniumHQ_selenium,1060,188,872,17.74,33554,3506,30048,10.45,31.65,3.31,18.65,341
ShareX,318,11,307,3.46,8162,205,7957,2.51,25.67,0.64,18.64,61
SingleFile,59,33,26,55.93,8046,2749,5297,34.17,136.37,46.59,83.30,42
SmartTube,154,140,14,90.91,11999,5282,6717,44.02,77.92,34.30,37.73,105
SmsForwarder,29,18,11,62.07,820,458,362,55.85,28.28,15.79,25.44,23
SnapKit,97,13,84,13.40,540,25,515,4.63,5.57,0.26,1.92,8
Sortable,194,33,161,17.01,1112,179,933,16.10,5.73,0.92,5.42,6
SteamTools,38,17,21,44.74,5172,609,4563,11.77,136.11,16.03,35.82,76
Stirling-PDF,290,201,89,69.31,3716,1787,1929,48.09,12.81,6.16,8.89,278
