project_name,total_contributors,active_contributors,participation_rate
teambit_bit,77,29,0.3766
telescope.nvim,415,5,0.012
tensorflow,4003,304,0.0759
terminal,434,30,0.0691
termux-app,86,12,0.1395
terraform,2054,120,0.0584
tesseract.js,83,10,0.1205
tesseract,221,13,0.0588
testify,300,15,0.05
text-generation-webui,367,18,0.049
textual,171,8,0.0468
the-swift-programming-language-in-chinese,349,16,0.0458
theia,354,76,0.2147
timescaledb,106,28,0.2642
timqian_chinese-independent-blogs,1315,5,0.0038
tinygrad,411,29,0.0706
tiptap,413,20,0.0484
tldraw_tldraw,202,32,0.1584
tmux,49,2,0.0408
toeverything_AFFiNE,192,55,0.2865
tokio,897,64,0.0713
toml,183,7,0.0383
tornado,447,12,0.0268
traefik,907,59,0.065
transformers,3129,137,0.0438
tree-sitter_tree-sitter,332,24,0.0723
trivy,466,43,0.0923
trix,73,10,0.137
trpc,465,25,0.0538
trufflehog,161,16,0.0994
twenty,463,48,0.1037
typeorm,1144,41,0.0358
typescript-go,62,6,0.0968
typesense,50,7,0.14
typst,353,32,0.0907
uWebSockets,57,2,0.0351
ui,287,10,0.0348
uikit,43,8,0.186
ultralytics,281,21,0.0747
umami-software_umami,350,99,0.2829
ungoogled-chromium,99,13,0.1313
uni-app,44,17,0.3864
unilm,71,9,0.1268
unionlabs_union,31,14,0.4516
unleashed-firmware,396,33,0.0833
unocss,370,26,0.0703
unsloth,64,2,0.0312
uppy,454,30,0.0661
upscayl,43,9,0.2093
uptime-kuma,755,158,0.2093
uv,387,38,0.0982
v2ray-core,167,13,0.0778
v2rayNG,62,30,0.4839
v2rayN,104,5,0.0481
v86,99,7,0.0707
v8,916,71,0.0775
v,825,44,0.0533
vagrant,1247,64,0.0513
validator.js,556,12,0.0216
validator,241,3,0.0124
valkey,859,64,0.0745
vanna,88,17,0.1932
vant-weapp,183,21,0.1148
vant,361,20,0.0554
vapor,265,15,0.0566
vault,1466,129,0.088
vaultwarden,167,27,0.1617
vectordotdev_vector,545,88,0.1615
vercel_next.js,3753,366,0.0975
vercel_turborepo,569,56,0.0984
video.js,525,48,0.0914
vim-airline,365,5,0.0137
vim,601,21,0.0349
vimium,187,9,0.0481
viper,190,5,0.0263
vite,1106,68,0.0615
vitess,462,116,0.2511
vllm,1106,70,0.0633
vnpy,142,18,0.1268
voice-changer,24,8,0.3333
void,49,14,0.2857
vscodium,130,14,0.1077
vue-admin-better,12,5,0.4167
vue-pure-admin,74,10,0.1351
vue-vben-admin,108,14,0.1296
vue2-elm,16,1,0.0625
vuetify,1056,64,0.0606
vueuse,753,24,0.0319
vulhub,78,19,0.2436
wagtail,896,48,0.0536
wails,302,13,0.043
wasmer,229,62,0.2707
web-check,31,3,0.0968
webpack,879,108,0.1229
webtorrent,191,18,0.0942
wechat-app-mall,28,3,0.1071
wechaty,59,12,0.2034
wekan_wekan,316,93,0.2943
weui,32,7,0.2188
wezterm,405,20,0.0494
wg-easy,80,18,0.225
whisper.cpp,568,11,0.0194
whisper,79,2,0.0253
wiki,213,12,0.0563
windows95,17,3,0.1765
windows,23,3,0.1304
winget-cli,114,25,0.2193
winutil,97,18,0.1856
withastro_astro,806,57,0.0707
ws,203,10,0.0493
x64dbg,148,4,0.027
xbmc,991,185,0.1867
xgboost,647,28,0.0433
xstate,369,25,0.0678
xterm.js,338,49,0.145
xxl-job,98,5,0.051
xyflow,124,13,0.1048
yabai,4,1,0.25
yazi,138,29,0.2101
yew,432,38,0.088
yfinance,134,7,0.0522
yjs,119,1,0.0084
yoga,303,26,0.0858
yolov5,345,12,0.0348
you-get,255,3,0.0118
youtube-dl,961,11,0.0114
youtube-music,423,130,0.3073
yt-dlp,1546,20,0.0129
yup,166,4,0.0241
zap,148,13,0.0878
zed-industries_zed,1237,175,0.1415
zellij-org_zellij,168,30,0.1786
zig,1146,17,0.0148
zod,397,11,0.0277
zoxide,92,4,0.0435
zstd,386,23,0.0596
zulip_zulip,1115,193,0.1731
zustand,302,15,0.0497
zx,62,5,0.0806
zxing,173,19,0.1098
