project_name,gini_all,gini_active
Qwen,0.875,0.3571
RSSHub,0.9962,0.9498
ReactiveX_RxSwift,0.9806,0.775
Real-Time-Voice-Cloning,0.9123,0.1667
Rectangle,0.9869,0.6765
RevokeMsgPatcher,0.8333,0.0
Rocket,0.9724,0.8779
RustPython,0.9624,0.8638
RxJava,0.9824,0.8106
SDWebImage,0.9925,0.7791
Sa-Token,0.9798,0.8877
Scrapegraph-ai,0.9656,0.8778
ScreenToGif,0.9908,0.0
Seal,0.9523,0.876
SeleniumHQ_selenium,0.9677,0.787
ShareX,0.9946,0.839
SingleFile,0.9617,0.9329
SmartTube,0.9369,0.9294
SmsForwarder,0.938,0.8993
SnapKit,0.9285,0.47
Sortable,0.9717,0.7921
SteamTools,0.8774,0.7302
Stirling-PDF,0.8898,0.8434
Sunshine,0.9575,0.8561
SwiftLint,0.9804,0.8471
SwiftyJSON,0.9684,0.6429
SwitchHosts,0.9698,0.8266
TDengine,0.9103,0.768
Tasmota,0.9785,0.9117
ToolJet_ToolJet,0.9675,0.8434
TrafficMonitor,0.9051,0.7331
TriliumNext_trilium,0.9565,0.9301
TryGhost_Ghost,0.9757,0.9405
UTM,0.9841,0.8352
Umi-OCR,0.9376,0.6259
Ventoy,0.8485,0.7915
WSL,0.9228,0.7284
WordPress,0.8903,0.5681
Wox,0.9819,0.8562
WxJava,0.9829,0.8709
XX-Net,0.9612,0.8625
Xray-core,0.9182,0.504
YesPlayMusic,0.8863,0.7195
ace,0.9675,0.8061
acme.sh,0.9786,0.8351
act,0.9357,0.7673
actix-web,0.9779,0.9085
actual,0.9523,0.7811
age,0.9593,0.6857
agenticSeek,0.9167,0.7427
agentic,0.9913,0.9061
agno,0.9729,0.8634
ai-hedge-fund,0.9295,0.7357
aider,0.9834,0.9282
air,0.904,0.6811
airbnb_lottie-ios,0.9844,0.8491
alacritty,0.9187,0.7573
alpine,0.9857,0.8728
amark_gun,0.9549,0.8612
angular-cli,0.9815,0.9332
angular_angular,0.9758,0.883
anime,0.974,0.7088
anki,0.9822,0.8761
anoma,0.7843,0.5926
ansible_ansible,0.9638,0.844
ant-design-pro,0.9655,0.8491
ant-design-vue,0.9904,0.896
ant-design,0.9891,0.9018
antlr4,0.9676,0.859
anything-llm,0.9704,0.8669
apache_airflow,0.9665,0.8447
apache_echarts,0.9772,0.8719
apache_shardingsphere,0.9498,0.8767
apache_spark,0.9607,0.8076
apache_superset,0.9668,0.8697
apify_crawlee,0.9314,0.8324
apollo,0.949,0.8683
apollographql_apollo-client,0.9853,0.9185
appium,0.9745,0.9177
appsmithorg_appsmith,0.8984,0.7992
argoproj_argo-cd,0.9411,0.7928
arthas,0.9812,0.8832
asdf,0.9819,0.761
aseprite,0.9676,0.9229
atuinsh_atuin,0.9265,0.8158
autocomplete,0.9887,0.8937
autogen,0.9425,0.725
automa,0.9403,0.9018
ava,0.9611,0.8526
axios,0.9727,0.7666
axum,0.9506,0.7906
babel,0.9581,0.8998
backbone,0.9693,0.71
backstage_backstage,0.9474,0.8737
badges_shields,0.9927,0.949
bagisto,0.9559,0.8864
baidu_amis,0.969,0.8467
barry-ran_QtScrcpy,0.9329,0.7911
base_node,0.8483,0.613
bat,0.9593,0.813
bazel,0.9918,0.8614
bcc,0.982,0.5657
beego,0.9748,0.748
beekeeper-studio,0.966,0.9075
bettercap,0.9678,0.8299
bevy,0.9241,0.7388
bilibili-API-collect,0.971,0.4492
biome,0.9529,0.8535
bitcoin,0.9872,0.8865
black,0.9265,0.679
blueprint,0.9583,0.8551
bokeh,0.9844,0.8968
bootstrap,0.9914,0.9193
brave-browser,0.9765,0.949
brew,0.9868,0.8603
browser-use,0.9538,0.8403
bruno,0.9544,0.829
btop,0.9702,0.6872
bubbletea,0.9518,0.4495
bulletproof-react,0.9709,0.7527
caddy,0.9796,0.7328
cadvisor,0.9294,0.7229
calcom_cal.com,0.9511,0.8742
calculator,0.9452,0.6615
calibre,0.9878,0.8995
canal,0.9305,0.8204
carbon-lang,0.969,0.8274
casbin,0.9444,0.6806
ccxt_ccxt,0.9941,0.9717
celery,0.9905,0.8646
certbot,0.9663,0.8474
chakra-ui,0.9872,0.9187
chatgpt-on-wechat,0.9014,0.726
chatwoot_chatwoot,0.9505,0.8813
cheerio,0.9846,0.9424
cherry-studio,0.9216,0.8374
chi,0.9855,0.7192
chroma,0.9291,0.7335
cilium_cilium,0.9485,0.8756
clash-verge-rev,0.9255,0.8525
classnames,0.9366,0.7365
cli,0.9761,0.8172
cline,0.9519,0.8316
cloc,0.9538,0.8655
cloudreve,0.9531,0.804
cmder,0.948,0.7831
cobalt,0.9549,0.9207
cobra,0.9646,0.568
coc.nvim,0.9841,0.9251
code-server,0.9548,0.873
codemirror5,0.9979,0.8834
codex,0.9284,0.7322
colima,0.9572,0.766
colly,0.9561,0.5778
commander.js,0.9589,0.8225
commitlint,0.972,0.9012
compiler-explorer_compiler-explorer,0.9039,0.8623
components,0.9877,0.8722
compose-multiplatform,0.9397,0.7302
compose-samples,0.8561,0.6937
compose,0.9471,0.8368
composer,0.9743,0.7979
composio,0.7139,0.6098
conductor,0.9133,0.7704
config,0.5,0.0
consul,0.9409,0.7072
containerd,0.971,0.8683
continuedev_continue,0.9778,0.9351
core-js,0.9921,0.916
core,0.9781,0.8561
coreutils,0.9586,0.8892
cosmopolitan,0.9576,0.6456
cpython,0.9853,0.6769
crawl4ai,0.9667,0.5887
create-t3-app,0.9643,0.8072
crewAI,0.9533,0.8124
croc,0.9682,0.8074
crystal,0.988,0.7976
cube,0.9653,0.8935
curl,0.9925,0.8625
cursor-free-vip,0.906,0.8119
cypress-io_cypress,0.9754,0.923
czkawka,0.9671,0.8647
d2,0.9388,0.8629
daisyui,0.9815,0.9056
dapr,0.8992,0.793
darkreader,0.9944,0.8847
dashy,0.9528,0.8966
dayjs,0.9888,0.8343
daytona,0.6709,0.5949
dbeaver_dbeaver,0.9606,0.9382
ddia,0.9841,0.4
decaporg_decap-cms,0.9776,0.873
deepface,0.9735,0.7908
delta,0.9654,0.827
delve,0.9808,0.7054
deno,0.9716,0.879
deskflow,0.9577,0.8026
deskreen,0.8271,0.7926
desktop,0.9858,0.9291
detectron2,0.9795,0.7841
dev-sidecar,0.815,0.5929
devdocs,0.9837,0.8533
devise,0.9704,0.6858
dgraph,0.8719,0.6869
dgtlmoon_changedetection.io,0.9601,0.8549
diagrams,0.9647,0.764
diff-so-fancy,0.9572,0.6539
diffusers,0.975,0.7517
dimsemenov_PhotoSwipe,0.9626,0.8032
dioxus,0.9696,0.9159
directus_directus,0.9572,0.9306
discord.js,0.9782,0.8723
disruptor,0.9212,0.6973
distroless,0.9185,0.8381
dive,0.9408,0.7597
django-rest-framework,0.9839,0.8012
django,0.9858,0.7339
docker-elk,0.8554,0.7831
dockge,0.6055,0.5834
docling,0.9162,0.7816
docs,0.9135,0.7157
docsify,0.9723,0.7921
docusaurus,0.9635,0.8322
dokku,0.9949,0.9251
dolt,0.9024,0.7365
doomemacs,0.998,0.8077
dotenv,0.9596,0.8417
dotnet_aspnetcore,0.9824,0.9034
draggable,0.9397,0.7682
dragonfly,0.9215,0.7879
drawdb,0.9652,0.7934
drawio-desktop,0.8788,0.8182
driver.js,0.9693,0.833
drizzle-orm,0.9558,0.8753
druid,0.9684,0.8656
dspy,0.9317,0.7566
dub,0.9771,0.9235
dubbo,0.9672,0.8788
duckdb,0.9684,0.9083
echo,0.9844,0.7706
editor.js,0.881,0.6996
egg,0.9683,0.775
egui,0.9644,0.8271
eladmin,0.9496,0.814
elastic_elasticsearch,0.9568,0.8454
electron-react-boilerplate,0.9212,0.8312
electron_electron,0.9902,0.8773
element-plus,0.9797,0.8353
eleventy,0.973,0.917
elixir,0.9921,0.725
ember.js,0.9802,0.8748
emscripten,0.9879,0.8886
ente-io_ente,0.9576,0.9337
envoy,0.9357,0.8225
eruda,0.9577,0.7883
esbuild,0.9844,0.9255
eslint,0.9678,0.8424
etcd,0.9769,0.8467
etcher,0.9263,0.8059
etherpad-lite,0.9651,0.8699
everyone-can-use-english,0.9743,0.846
excalidraw,0.9581,0.8699
excelize,0.9851,0.721
explosion_spaCy,0.9689,0.8764
express,0.9836,0.9104
faas,0.9558,0.8517
fabric.js,0.9854,0.8868
fabric,0.9617,0.7033
facebook_hhvm,0.9512,0.7397
facefusion,0.6515,0.4773
faceswap,0.9667,0.7273
fairseq,0.9569,0.544
faiss,0.9603,0.6909
faker,0.993,0.9012
fastai,0.9753,0.8599
fastapi,0.9367,0.7634
fasthttp,0.9741,0.6043
fastify,0.9796,0.8341
fastlane_fastlane,0.9803,0.8027
fd,0.9536,0.825
fiber,0.9879,0.7803
filament,0.9738,0.7884
filebrowser,0.9281,0.831
fingerprintjs,0.9557,0.7644
firecracker,0.9245,0.7396
firecrawl,0.9475,0.8694
firefly-iii,0.9868,0.9408
fish-shell,0.9923,0.7762
fish-speech,0.9543,0.8369
flameshot,0.9654,0.7687
flash-attention,0.9794,0.8161
flask,0.991,0.8578
flatbuffers,0.9515,0.7068
flink,0.9379,0.7974
floating-ui,0.9661,0.8521
flow,0.9864,0.8551
flutter_flutter,0.9696,0.8013
flux,0.9286,0.3333
fmt,0.9938,0.8407
focalboard,0.8288,0.7402
folly,0.9842,0.4278
framework7,0.9873,0.9286
framework,0.9945,0.8912
freqtrade,0.9732,0.8991
frida,0.9769,0.7286
frigate,0.9727,0.8298
frp,0.9645,0.8817
fuel-core,0.8195,0.7157
fuels-rs,0.8543,0.7651
fuels-ts,0.7964,0.6118
fullPage.js,0.9856,0.8716
fullcalendar,0.9904,0.9242
fx,0.9623,0.8167
fyne,0.9713,0.8801
fzf,0.9874,0.7776
gatsbyjs_gatsby,0.917,0.7965
generative-models,0.6974,0.3275
gethomepage_homepage,0.9575,0.9266
getsentry_sentry,0.9445,0.8122
ghostty,0.9824,0.8558
gin-vue-admin,0.9665,0.8601
gin,0.9767,0.6902
git-extras,0.9786,0.4048
gitbook,0.826,0.7563
github-readme-stats,0.9879,0.8713
github1s,0.9288,0.7373
gitleaks,0.8298,0.7018
gitui,0.964,0.8516
gkd,0.764,0.5871
glance,0.9728,0.7583
glances,0.9764,0.9123
gleam,0.9556,0.8391
glide,0.9825,0.8855
glow,0.9124,0.6497
go-gitea_gitea,0.9585,0.8716
go-kratos_kratos,0.945,0.6226
go-micro,0.9781,0.6995
go-redis,0.984,0.8011
go-zero,0.9878,0.7953
go,0.9891,0.6145
goaccess,0.9695,0.8533
godot,0.9555,0.8884
gogs,0.9633,0.8725
google-research_google-research,0.8335,0.2662
google_fonts,0.9468,0.7587
googletest,0.9746,0.7495
gopeed,0.9559,0.8825
goreplay,0.9594,0.7805
gorhill_uBlock,0.9849,0.9631
gorm,0.9816,0.6839
gpt-researcher,0.9552,0.8072
gpt4all,0.9321,0.7284
gpt4free,0.9663,0.7798
gpt_academic,0.98,0.8354
graal,0.8874,0.7226
gradio,0.9779,0.8859
gradle,0.9597,0.889
grafana_loki,0.9245,0.8021
grapesjs,0.9863,0.9181
graphql-js,0.9703,0.8707
graphql,0.9847,0.9341
graphrag,0.8722,0.7592
gravitational_teleport,0.8656,0.7563
grpc-gateway,0.9272,0.7797
grpc-go,0.9664,0.6476
grpc_grpc,0.9678,0.8743
gson,0.965,0.8454
guava,0.9675,0.8039
guidance,0.9435,0.6811
gulp,0.9765,0.809
gum,0.929,0.3004
guzzle,0.9794,0.8331
ha_xiaomi_home,0.8432,0.6529
hackathon-starter,0.9758,0.8866
halo,0.9662,0.8966
handsontable_handsontable,0.9569,0.862
harbor,0.9414,0.8689
harness,0.8023,0.6741
hashcat,0.9705,0.693
hasura_graphql-engine,0.9048,0.7049
haystack,0.9085,0.8219
headlessui,0.9637,0.8463
headscale,0.9548,0.8576
helix,0.7863,0.633
hello-algo,0.9776,0.8108
helm,0.9619,0.8018
heroicons,0.8475,0.6298
heroui-inc_heroui,0.987,0.9217
hexo,0.9639,0.8267
hey,0.8727,0.6606
hiddify-app,0.9157,0.8784
highlight.js,0.9864,0.7698
homebrew-cask,0.9981,0.8031
homebridge,0.8952,0.7903
honojs_hono,0.9821,0.9027
hoppscotch,0.946,0.8908
hosts,0.9905,0.9334
html5-boilerplate,0.963,0.8633
htmx,0.9857,0.7707
huginn,0.9576,0.7958
hugo,0.9911,0.914
hutool,0.9922,0.9047
iTerm2-Color-Schemes,0.6505,0.2959
ice,0.9279,0.8258
iced,0.9727,0.8992
ignite,0.9575,0.8407
iina,0.9404,0.7547
imgui,0.9927,0.7902
immich-app_immich,0.9608,0.8846
immutable-js,0.9767,0.8599
incubator-seata,0.9001,0.7406
influxdb,0.9318,0.8022
ingress-nginx,0.9373,0.8148
ink,0.967,0.8322
insightface,0.9548,0.5804
intro.js,0.97,0.8416
invoke-ai_InvokeAI,0.9419,0.8695
ionic-team_ionic-framework,0.9799,0.8279
ionicons,0.8658,0.764
ip2region,0.9001,0.6805
ish,0.9662,0.8072
jadx,0.9224,0.7973
jan,0.8453,0.7468
jax,0.9854,0.8353
jeecgboot_JeecgBoot,0.9534,0.8313
jekyll,0.978,0.7854
jellyfin,0.8176,0.7356
jenkinsci_jenkins,0.9643,0.9141
jest,0.9525,0.8024
jgthms_bulma,0.9896,0.8913
jhipster_generator-jhipster,0.9816,0.9583
jitsi_jitsi-meet,0.9103,0.8439
joi,0.9876,0.8609
jotai,0.9782,0.8685
jq,0.8601,0.7448
jquery_jquery,0.9687,0.7796
js-cookie,0.9354,0.8237
jsdom,0.96,0.8536
json-server,0.9798,0.8864
jsoncrack.com,0.9621,0.8893
julia,0.9825,0.7751
jumpserver,0.9514,0.858
juspay_hyperswitch,0.8249,0.6733
just,0.9757,0.8722
k3s,0.9306,0.7889
k6,0.9358,0.7876
k9s,0.9,0.7206
kafka,0.9385,0.6943
keepassxc,0.9785,0.7994
keras,0.9753,0.6777
kestra,0.9471,0.8606
keycloak_keycloak,0.9694,0.9181
khoj,0.9674,0.8604
kickstart.nvim,0.9769,0.25
kit,0.9845,0.9075
kitty,0.9948,0.9089
kivy,0.9748,0.7926
koa,0.9669,0.7999
kong,0.934,0.7422
koodo-reader,0.9435,0.9299
koreader,0.9746,0.6781
kotaemon,0.8502,0.7228
kotlin,0.934,0.8025
kubernetes_kubernetes,0.952,0.8376
kubernetes_minikube,0.9699,0.8954
kuboard-press,0.9293,0.7171
ladybird,0.9607,0.7809
langchain,0.9809,0.8386
langflow-ai_langflow,0.9523,0.8944
langgenius_dify,0.8984,0.7219
laravel-debugbar,0.9773,0.7969
laravel,0.9658,0.797
laurent22_joplin,0.9939,0.9495
layui,0.9755,0.8653
lazygit,0.9765,0.8716
lede,0.9817,0.7755
leetcode,0.9911,0.87
leptos,0.9633,0.8791
lerna,0.9637,0.8848
lexical,0.9728,0.815
libgdx,0.9726,0.8549
libuv,0.9869,0.6036
linera-protocol,0.9356,0.7672
linux-command,0.99,0.8278
linux-insides,0.9946,0.1
lit_lit,0.9375,0.8037
live,0.8325,0.665
livewire,0.9737,0.8709
llama.cpp,0.955,0.5917
llamafile,0.9613,0.4
llm.c,0.9304,0.5699
llvm_llvm-project,0.9508,0.7129
lo,0.9845,0.6794
lobehub_lobe-chat,0.9771,0.9367
localsend,0.8486,0.7962
localstack,0.9547,0.8402
locust,0.9712,0.8516
logseq,0.9748,0.8598
luigi,0.9624,0.7042
lutzroeder_netron,0.0,0.0
lux,0.9672,0.7526
lvgl,0.9868,0.8194
lx-music-desktop,0.9263,0.8618
magic-wormhole,0.9538,0.7775
mall,0.0,0.0
manim,0.9686,0.7776
mantine,0.9969,0.9492
marked,0.9771,0.9008
marker,0.926,0.778
markitdown,0.9013,0.6572
matomo-org_matomo,0.9692,0.912
matplotlib,0.9882,0.8503
maui,0.9752,0.8923
maybe,0.9212,0.7881
mdBook,0.9608,0.8302
mdb-ui-kit,0.9414,0.7852
mdx,0.9703,0.8824
mediapipe,0.9498,0.7584
meilisearch,0.9518,0.8933
mem0,0.9437,0.8368
memos,0.9306,0.8436
mermaid,0.9699,0.8861
metabase_metabase,0.9318,0.7978
meteor_meteor,0.9792,0.8774
miaosha,0.8705,0.6634
micro,0.8448,0.646
micropython,0.9698,0.7439
microsoft_TypeScript,0.9629,0.8906
microsoft_semantic-kernel,0.9302,0.7938
mifi_lossless-cut,0.8332,0.7922
milvus,0.8837,0.7043
mimikatz,0.9,0.0
mindsdb,0.9726,0.8792
minimind,0.65,0.125
minio,0.9622,0.8701
mitmproxy,0.9871,0.887
mjml,0.9692,0.8709
mkdocs-material,0.9843,0.9441
ml-agents,0.9305,0.7131
mlc-llm,0.9445,0.5499
mlflow_mlflow,0.9691,0.8596
mlx,0.9651,0.6512
mobx,0.9785,0.8652
moby_moby,0.9798,0.8706
mocha,0.9622,0.8091
modular,0.9102,0.6318
monaco-editor,0.9734,0.9033
mongodb_mongo,0.7987,0.6441
mongoose,0.993,0.9382
monica,0.9192,0.79
monolog,0.9728,0.7627
motion,0.9835,0.9417
mpv,0.9644,0.7969
mrdoob_three.js,0.9818,0.8345
mui_material-ui,0.9868,0.9163
mybatis-3,0.9459,0.9069
mypy,0.97,0.6941
n8n-io_n8n,0.963,0.8965
n,0.9638,0.7707
nacos,0.9329,0.7907
nanoid,0.9802,0.9137
ncnn,0.9892,0.8773
neon,0.8002,0.6799
neovim,0.9884,0.8304
netbox,0.986,0.9331
netdata_netdata,0.9609,0.8828
netty,0.9826,0.9131
next-auth,0.9811,0.8729
nginx-proxy,0.9326,0.8157
nginx,0.9784,0.7974
nlohmann_json,0.9888,0.9126
nnn,0.9888,0.8047
nocodb_nocodb,0.9825,0.942
node-red,0.9612,0.9056
node,0.8133,0.44
nodejs_node,0.9895,0.7926
notepad-plus-plus,0.8761,0.8061
novuhq_novu,0.9466,0.8924
nowinandroid,0.8877,0.7984
nrwl_nx,0.9656,0.8971
ntfy,0.8755,0.7723
nuclei,0.95,0.8194
numpy,0.9858,0.8492
nushell,0.9514,0.8389
nuxt,0.9944,0.937
nvm,0.9847,0.8376
nw.js,0.9613,0.7902
obsproject_obs-studio,0.9261,0.8261
oh-my-posh,0.9001,0.8034
ohmyzsh,0.9976,0.6861
okhttp,0.9837,0.8912
ollama_ollama,0.9892,0.7783
onlook,0.9577,0.8398
onnx,0.967,0.8024
open-interpreter,0.9671,0.8752
open-r1,0.856,0.5348
open-webui_open-webui,0.9229,0.84
openai-python,0.988,0.8993
opencv,0.986,0.7773
openjdk_jdk,0.9488,0.8321
openpilot,0.9802,0.8374
openssl,0.9772,0.8069
opentofu,0.9705,0.7633
openui,0.9091,0.7424
openwrt,0.9821,0.7022
openzeppelin-contracts,0.9783,0.8286
osquery,0.9673,0.7603
outline,0.9772,0.9271
oven-sh_bun,0.9864,0.8951
p5.js,0.9526,0.7661
pandas-ai,0.9472,0.8673
pandas,0.9838,0.7906
pandoc,0.9936,0.9365
paperless-ngx,0.9618,0.8907
parcel,0.9393,0.8476
parse-server,0.9663,0.8486
pathway,0.7604,0.6007
payloadcms_payload,0.9863,0.9242
pdf.js,0.9743,0.9202
peft,0.963,0.7196
penpot,0.976,0.8553
phaserjs_phaser,0.9865,0.8871
phoenix,0.9834,0.7344
photoprism_photoprism,0.9889,0.9584
php-src,0.9766,0.7957
phpunit,0.9928,0.9606
pi-hole,0.9684,0.8128
pingcap_tidb,0.9122,0.6782
pingora,0.8551,0.6059
pipenv,0.9809,0.8379
pixijs,0.9852,0.8806
plane,0.9138,0.7998
playwright,0.9878,0.8879
plotly_dash,0.9352,0.8253
pm2,0.9854,0.9206
pnpm,0.9824,0.959
pocketbase,0.9742,0.7784
podman,0.9835,0.8647
poetry,0.9736,0.8562
polars,0.9777,0.9035
portainer,0.9507,0.802
postcss,0.9933,0.9344
postgres,0.8193,0.6119
postgrest,0.9628,0.7978
postiz-app,0.9404,0.8306
powerlevel10k,0.9909,0.6032
preact,0.9706,0.8689
prettier,0.9804,0.9319
prisma,0.977,0.9124
prometheus,0.9591,0.8349
prophet,0.9635,0.6663
protobuf,0.9811,0.8422
pulumi,0.9276,0.8574
puppeteer,0.9825,0.8708
pure,0.9548,0.8365
puter,0.9762,0.8013
pydantic,0.9723,0.8096
pyenv,0.9796,0.6924
pyscript,0.9343,0.7093
python-fire,0.9516,0.6287
python-telegram-bot,0.9616,0.7296
pytorch-lightning,0.9848,0.865
pytorch_geometric,0.9909,0.883
pytorch_pytorch,0.9689,0.7865
qBittorrent,0.9893,0.8357
qinglong,0.9699,0.8962
qlib,0.8881,0.6806
quasarframework_quasar,0.992,0.9489
query,0.9838,0.8817
quivr,0.9553,0.8552
qwik,0.9514,0.8365
radare2,0.9843,0.8488
rails,0.9849,0.7644
rancher,0.8346,0.7007
rapid7_metasploit-framework,0.9816,0.8785
ray-project_ray,0.9476,0.7941
raylib,0.9921,0.8702
rclone_rclone,0.9843,0.8097
react-admin,0.987,0.9141
react-bootstrap,0.9831,0.8495
react-hook-form,0.9891,0.9254
react-native-vector-icons,0.9776,0.9012
react-native-web,0.9907,0.9163
react-native,0.9713,0.7776
react-navigation,0.9925,0.925
react-redux,0.9638,0.822
react-router,0.9338,0.8367
react-scan,0.903,0.6604
react-spring,0.975,0.8813
react-testing-library,0.9444,0.7137
react-three-fiber,0.9815,0.8925
react,0.9818,0.8512
recharts,0.9717,0.8907
recommenders,0.9286,0.7838
redash,0.949,0.8149
redis,0.9537,0.7586
redisson,0.9895,0.9372
redoc,0.9702,0.9042
reduxjs_redux,0.9754,0.7796
refined-github,0.9819,0.8743
refinedev_refine,0.9773,0.8735
reflex,0.9555,0.781
relay,0.9281,0.7541
rembg,0.9691,0.7425
remix,0.7529,0.7512
remotion-dev_remotion,0.9898,0.9594
requests,0.9852,0.7669
restic,0.9913,0.8694
retrofit,0.9714,0.8957
reveal.js,0.9803,0.8173
rich,0.9819,0.8895
ripgrep,0.9838,0.8824
robertdavidgraham_masscan,0.9423,0.6273
rocketmq,0.9565,0.7931
rocksdb,0.9752,0.6383
rollup,0.9781,0.9126
rrweb,0.9789,0.8779
ruby,0.982,0.8271
ruff,0.9439,0.8531
rufus,0.9941,0.6404
ruoyi-vue-pro,0.9664,0.9012
rust-lang_rust,0.9807,0.8892
rustdesk,0.9769,0.8901
saleor,0.932,0.8408
sanic,0.9619,0.7297
scikit-learn,0.9918,0.7775
scrapy,0.9684,0.8405
scrcpy,0.9888,0.7093
screenshot-to-code,0.9211,0.7948
searxng_searxng,0.9289,0.8672
seaweedfs,0.9529,0.8681
semantic-release,0.9803,0.8799
sequelize,0.9911,0.9151
serenity,0.9581,0.7468
serve,0.9644,0.8575
serverless,0.9729,0.8729
servers,0.8881,0.588
servo_servo,0.9545,0.8991
setup-ipsec-vpn,0.9531,0.6954
setup,0.9676,0.2667
shadPS4,0.9163,0.6007
shadowsocks-android,0.9453,0.8883
shap,0.9702,0.8016
shardeum,0.866,0.8213
sharp,0.9677,0.9032
shellcheck,0.9613,0.7444
sherlock,0.8744,0.8304
signalapp_Signal-Android,0.9635,0.9217
signoz,0.9137,0.7957
simdjson,0.9823,0.7983
simple-icons,0.8618,0.8331
sing-box,0.9781,0.8637
siyuan,0.9673,0.9216
skywalking,0.9387,0.8712
slate,0.9835,0.8872
slick,0.964,0.6969
