project_name,total_commits,top_contributor_commits,dominance,num_contributors
restic,530,324,0.6113,434
retrofit,1063,580,0.5456,193
reveal.js,270,207,0.7667,353
rich,817,598,0.7319,275
ripgrep,583,507,0.8696,406
robertdavidgraham_masscan,40,26,0.65,71
rocketmq,1612,571,0.3542,618
rocksdb,379,60,0.1583,977
rollup,1858,972,0.5231,411
rrweb,503,382,0.7594,133
ruby,2790,469,0.1681,1027
ruff,3017,828,0.2744,657
rufus,127,123,0.9685,182
ruoyi-vue-pro,2598,1569,0.6039,347
rust-lang_rust,24497,5350,0.2184,6734
rustdesk,1795,906,0.5047,376
saleor,3672,1029,0.2802,281
sanic,342,119,0.348,348
scikit-learn,925,175,0.1892,3132
scrapy,1669,332,0.1989,625
scrcpy,43,37,0.8605,156
screenshot-to-code,116,98,0.8448,26
searxng_searxng,2512,654,0.2604,312
seaweedfs,1636,921,0.563,423
semantic-release,1096,599,0.5465,244
sequelize,3156,1606,0.5089,1180
serenity,1435,185,0.1289,1226
serve,1753,984,0.5613,172
serverless,3506,872,0.2487,1151
servers,518,66,0.1274,611
servo_servo,15057,5048,0.3353,1475
setup-ipsec-vpn,183,169,0.9235,26
setup,5,3,0.6,68
shadPS4,168,52,0.3095,167
shadowsocks-android,1333,643,0.4824,51
shap,516,169,0.3275,260
shardeum,659,323,0.4901,52
sharp,912,819,0.898,225
shellcheck,128,87,0.6797,165
sherlock,1762,648,0.3678,266
signalapp_Signal-Android,5858,1263,0.2156,373
signoz,1246,343,0.2753,161
simdjson,143,109,0.7622,148
simple-icons,5301,689,0.13,784
sing-box,260,224,0.8615,87
siyuan,2251,1193,0.53,84
skywalking,3118,900,0.2886,483
slate,1233,785,0.6367,594
slick,107,68,0.6355,177
slidev,1104,973,0.8813,293
slim,147,83,0.5646,72
slint,3162,1407,0.445,194
smolagents,185,73,0.3946,165
socket.io,2710,1081,0.3989,533
solid,894,824,0.9217,168
solidity,2979,994,0.3337,743
sops,533,114,0.2139,175
source-code-hunter,28,20,0.7143,38
spacedrive,1409,270,0.1916,115
spacemacs,128,100,0.7812,1361
spdlog,230,194,0.8435,421
spleeter,195,132,0.6769,19
spotube,936,836,0.8932,82
spring-cloud-alibaba,1150,230,0.2,211
spring-framework,2756,414,0.1502,1092
spring-projects_spring-boot,13625,5541,0.4067,1375
sqlitebrowser,258,79,0.3062,190
sqlmap,4295,3843,0.8948,142
srs,1117,991,0.8872,125
sst,664,273,0.4111,209
stanford-oval_storm,22,14,0.6364,26
starship,2327,1010,0.434,595
stats,87,82,0.9425,165
statsd,121,33,0.2727,235
stb,12,10,0.8333,218
storybookjs_storybook,28764,6484,0.2254,2179
strapi_strapi,12999,2210,0.17,1074
streamlit,1700,313,0.1841,271
styled-components,1244,481,0.3867,370
subquery_subql,1954,715,0.3659,59
supabase_supabase,7664,1187,0.1549,1616
supervision,932,335,0.3594,114
surrealdb,775,326,0.4206,145
surya,391,328,0.8389,14
svelte,2699,1235,0.4576,815
svgo,469,140,0.2985,223
swagger-ui,2927,1132,0.3867,591
sway,1644,193,0.1174,143
swc-project_swc,7369,3138,0.4258,340
sweetalert2,1314,676,0.5145,129
swiftlang_swift,6553,1251,0.1909,1304
swiper,839,660,0.7867,347
swoole-src,721,386,0.5354,178
swr,374,133,0.3556,192
syncthing,1226,812,0.6623,355
tabby,1144,644,0.5629,115
table,1099,756,0.6879,465
