project_name,total_technologies,orphaned_count,endangered_count,orphaned_rate,endangered_rate,at_risk_rate
homebrew-cask,8,0,0,0.0,0.0,0.0
homebridge,11,2,0,0.1818,0.0,0.1818
honojs_hono,15,0,0,0.0,0.0,0.0
hoppscotch,20,2,0,0.1,0.0,0.1
hosts,9,0,0,0.0,0.0,0.0
html5-boilerplate,10,0,0,0.0,0.0,0.0
htmx,7,1,0,0.1429,0.0,0.1429
huginn,6,0,0,0.0,0.0,0.0
hugo,16,0,0,0.0,0.0,0.0
hutool,4,0,0,0.0,0.0,0.0
iTerm2-Color-Schemes,2,0,0,0.0,0.0,0.0
ice,10,0,0,0.0,0.0,0.0
iced,8,0,0,0.0,0.0,0.0
ignite,13,2,0,0.1538,0.0,0.1538
iina,6,0,0,0.0,0.0,0.0
imgui,5,0,0,0.0,0.0,0.0
immich-app_immich,23,0,0,0.0,0.0,0.0
immutable-js,11,1,0,0.0909,0.0,0.0909
incubator-seata,15,0,0,0.0,0.0,0.0
influxdb,21,0,0,0.0,0.0,0.0
ingress-nginx,23,6,0,0.2609,0.0,0.2609
ink,4,0,0,0.0,0.0,0.0
insightface,6,0,0,0.0,0.0,0.0
intro.js,9,0,0,0.0,0.0,0.0
invoke-ai_InvokeAI,14,1,0,0.0714,0.0,0.0714
ionic-team_ionic-framework,16,0,0,0.0,0.0,0.0
ionicons,9,0,0,0.0,0.0,0.0
ip2region,7,1,0,0.1429,0.0,0.1429
ish,6,1,0,0.1667,0.0,0.1667
jadx,8,0,0,0.0,0.0,0.0
jan,18,0,0,0.0,0.0,0.0
jax,10,0,0,0.0,0.0,0.0
jeecgboot_JeecgBoot,9,1,0,0.1111,0.0,0.1111
jekyll,13,0,0,0.0,0.0,0.0
jellyfin,11,1,0,0.0909,0.0,0.0909
jenkinsci_jenkins,13,1,0,0.0769,0.0,0.0769
jest,20,0,0,0.0,0.0,0.0
jgthms_bulma,10,1,0,0.1,0.0,0.1
jhipster_generator-jhipster,22,1,0,0.0455,0.0,0.0455
jitsi_jitsi-meet,11,0,0,0.0,0.0,0.0
joi,4,0,0,0.0,0.0,0.0
jotai,11,1,0,0.0909,0.0,0.0909
