project,ecosystem
ncnn,17
jest,15
ruoyi-vue-pro,30
react-admin,-1
fullcalendar,55
tldraw_tldraw,15
anki,-1
cosmopolitan,15
nvm,-1
pi-hole,0
compiler-explorer_compiler-explorer,-1
heroicons,23
nushell,15
reflex,47
podman,13
BabylonJS_Babylon.js,-1
GPT-SoVITS,15
doomemacs,15
anoma,22
notepad-plus-plus,15
OI-wiki,15
apache_shardingsphere,11
Ice,15
CodeEdit,15
spring-cloud-alibaba,26
mui_material-ui,15
deskreen,52
supervision,32
mlflow_mlflow,25
pm2,50
jellyfin,15
gulp,23
unilm,15
pathway,5
svgo,52
mediapipe,33
SwiftyJSON,15
go-kratos_kratos,15
styled-components,44
go-redis,-1
ntfy,15
envoy,-1
dockge,52
withastro_astro,-1
NextChat,27
monica,30
validator,20
markitdown,47
mocha,15
framework7,15
vue-vben-admin,26
rapid7_metasploit-framework,11
xstate,55
kickstart.nvim,15
pytorch_geometric,47
floating-ui,37
khoj,-1
restic,15
mobx,44
live,15
Clash-for-Windows_Chinese,32
nacos,15
daisyui,23
miaosha,11
jax,32
frida,15
lobehub_lobe-chat,24
jekyll,15
qwik,8
lit_lit,38
dioxus,-1
NationalSecurityAgency_ghidra,15
PDFMathTranslate,47
compose,15
Iosevka,38
ccxt_ccxt,27
mdBook,15
consul,5
gpt4all,4
ant-design-pro,50
radare2,45
compose-samples,-1
sherlock,15
influxdb,15
grpc-gateway,8
Charts,0
containerd,13
drizzle-orm,30
pandas-ai,47
SwiftLint,-1
PrefectHQ_prefect,32
flameshot,15
MMKV,39
clash-verge-rev,15
pingcap_tidb,15
qBittorrent,5
react-router,51
bilibili-API-collect,23
fabric,-1
mitmproxy,51
faker,5
Apktool,15
cherry-studio,52
CasaOS,38
scikit-learn,30
continuedev_continue,8
ultralytics,38
headlessui,52
Xray-core,22
google_fonts,5
rich,44
matplotlib,15
emscripten,5
fuels-rs,15
hexo,38
viper,20
libgdx,39
upscayl,50
apache_spark,-1
glance,19
Folo,51
yew,4
browser-use,47
hoppscotch,26
locust,32
Dokploy_dokploy,38
Infisical_infisical,15
open-interpreter,38
tesseract,2
druid,15
puter,52
marker,38
nw.js,2
taichi,38
GyulyVGC_sniffnet,15
rufus,0
kestra,26
chatgpt-on-wechat,47
zap,19
mdx,52
beekeeper-studio,27
carbon-lang,15
MagicMirror,38
stanford-oval_storm,2
kotlin,15
dolt,45
fabric.js,30
surrealdb,-1
ScreenToGif,0
grpc-go,15
ignite,32
ansible_ansible,15
d2,38
ant-design-vue,32
solid,37
htmx,15
iina,2
gum,19
3x-ui,49
apify_crawlee,27
juspay_hyperswitch,-1
pandoc,15
stb,15
Qwen3,2
postcss,56
parse-server,52
vim,15
esbuild,50
sharp,15
k6,15
lux,19
prisma,38
OpenAPI-Specification,38
homebrew-cask,-1
core,2
lx-music-desktop,54
v2ray-core,20
age,0
react-testing-library,52
ip2region,8
text-generation-webui,15
SmsForwarder,40
metabase_metabase,-1
appsmithorg_appsmith,-1
angular_angular,13
hello-algo,27
p5.js,32
air,19
motion,8
ColossalAI,38
swr,56
plane,15
mongoose,38
signoz,15
PaddleOCR,33
bulletproof-react,54
facebook_hhvm,-1
zx,52
signalapp_Signal-Android,39
plotly_dash,15
hasura_graphql-engine,-1
crawl4ai,32
echo,15
simdjson,-1
vant-weapp,52
deepface,15
fastlane_fastlane,8
wechaty,30
mindsdb,37
vaultwarden,30
jotai,52
gitbook,38
coreutils,4
ha_xiaomi_home,0
retrofit,36
openssl,0
ember.js,52
searxng_searxng,38
RevokeMsgPatcher,18
keycloak_keycloak,-1
n,38
ShareX,0
Flowise,27
generative-models,17
llamafile,0
solidity,5
koreader,15
youtube-dl,-1
LazyVim,15
anything-llm,37
netty,4
detectron2,49
NativeScript_NativeScript,26
hiddify-app,-1
Catch2,1
cloc,38
julia,5
glow,19
wails,30
langflow-ai_langflow,-1
fx,38
openui,11
insightface,36
screenshot-to-code,38
gpt-researcher,38
qlib,30
oh-my-posh,15
ant-design,37
folly,1
zod,-1
compose-multiplatform,39
yup,32
slate,27
ExplorerPatcher,0
XX-Net,15
Dapper,18
playwright,36
kotaemon,30
sequelize,-1
ai-hedge-fund,38
OCRmyPDF,30
imgui,0
bettercap,22
serve,47
unsloth,17
valkey,1
typeorm,27
dub,38
wiki,26
airbnb_lottie-ios,23
composer,0
ruff,-1
traefik,15
ml-agents,15
WordPress,15
toeverything_AFFiNE,8
libuv,1
cmder,0
protobuf,-1
reveal.js,23
handsontable_handsontable,32
BerriAI_litellm,15
OpenBB-finance_OpenBB,30
tabler-icons,55
dokku,1
openwrt,15
swiper,15
spring-framework,30
tokio,1
ente-io_ente,-1
remotion-dev_remotion,27
WxJava,5
SDWebImage,15
