File Path,Option,Concept,Values,Changed internally,Removed
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.artifactId,maven,['spring-boot-starter-security'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.groupId,maven,['org.springframework.boot'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.artifactId,maven,['spring-boot-starter-test'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.groupId,maven,['org.springframework.boot'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.scope,maven,['test'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.artifactId,maven,['spring-boot-starter-web'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.groupId,maven,['org.springframework.boot'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-netflix-hystrix-stream.artifactId,maven,['spring-cloud-netflix-hystrix-stream'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-netflix-hystrix-stream.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-bus-amqp.artifactId,maven,['spring-cloud-starter-bus-amqp'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-bus-amqp.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-config.artifactId,maven,['spring-cloud-starter-config'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-config.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-eureka.artifactId,maven,['spring-cloud-starter-eureka'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-eureka.groupId,maven,['org.springframework.cloud'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-feign.artifactId,maven,['spring-cloud-starter-feign'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-feign.groupId,maven,['org.springframework.cloud'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-hystrix.artifactId,maven,['spring-cloud-starter-hystrix'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-hystrix.groupId,maven,['org.springframework.cloud'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-eureka-client.artifactId,maven,['spring-cloud-starter-netflix-eureka-client'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-eureka-client.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-hystrix.artifactId,maven,['spring-cloud-starter-netflix-hystrix'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-hystrix.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-oauth2.artifactId,maven,['spring-cloud-starter-oauth2'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-oauth2.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-openfeign.artifactId,maven,['spring-cloud-starter-openfeign'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-openfeign.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-sleuth.artifactId,maven,['spring-cloud-starter-sleuth'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-sleuth.groupId,maven,['org.springframework.cloud'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.security.oauth:spring-security-oauth2.artifactId,maven,['spring-security-oauth2'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.security.oauth:spring-security-oauth2.groupId,maven,['org.springframework.security.oauth'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.1.RELEASE.artifactId,maven,['spring-boot-starter-parent'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.1.RELEASE.groupId,maven,['org.springframework.boot'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.1.RELEASE.scope,maven,['import'],0,True
