project,technologies
NewPipe,"['android', 'github', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper']"
dive,"['dependabot', 'docker', 'github funding', 'github-action', 'golangci-lint', 'goreleaser']"
LunarVim,"['github funding', 'github issues', 'github-action', 'pre-commit', 'stylua']"
pandas,"['codecov', 'dependabot', 'devcontainer', 'docker', 'github issues', 'github-action', 'gitpod', 'poetry', 'pre-commit']"
fzf,"['dependabot', 'docker', 'github funding', 'github issues', 'github-action', 'goreleaser', 'rubocop', 'typos']"
shadowsocks-android,"['android', 'circleci', 'github funding', 'gradle', 'gradle-wrapper', 'travis']"
web-check,"['docker', 'docker-compose', 'flyio', 'github funding', 'github-action', 'netlify', 'npm', 'tsconfig', 'vercel']"
ILSpy,"['dependabot', 'docker', 'github funding', 'github-action', 'npm', 'vscode']"
headscale,"['buf', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'mkdocs', 'renovate', 'swagger']"
cilium_cilium,"['appveyor', 'azure pipelines', 'buf', 'cirrus', 'codecov', 'deepsource', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'helm', 'kubernetes', 'markdownlint', 'mockery', 'netlify', 'pre-commit', 'readthedocs', 'renovate', 'swagger', 'travis', 'vscode']"
etcd,"['codecov', 'dependabot', 'devcontainer', 'docker', 'github issues', 'github-action', 'golangci-lint', 'swagger']"
jq,"['ansible-playbook', 'dependabot', 'docker', 'github-action']"
codex,"['cargo', 'dependabot', 'devcontainer', 'docker', 'github issues', 'github-action', 'npm', 'pnpm', 'rustfmt', 'tsconfig']"
qinglong,"['docker', 'docker-compose', 'github config', 'github issues', 'github-action', 'nginx', 'nodemon', 'npm', 'pnpm', 'tsconfig']"
slim,"['appveyor', 'codecov', 'deepsource', 'dependabot', 'docker', 'github funding', 'github-action', 'gitpod', 'golangci-lint', 'goreleaser', 'kubernetes', 'markdownlint', 'mkdocs', 'pre-commit', 'renovate', 'swagger', 'travis', 'vscode']"
tailscale,"['dependabot', 'docker', 'github issues', 'github-action', 'gocrazy', 'golangci-lint', 'helm', 'kubernetes', 'npm', 'tsconfig']"
serverless,"['github issues', 'github-action', 'npm']"
dotnet_aspnetcore,"['babel', 'bower', 'dependabot', 'devcontainer', 'docker', 'eslint', 'github issues', 'github-action', 'gradle-wrapper', 'markdownlint', 'npm', 'tsconfig', 'vscode']"
