project,android,angular,ansible,ansible-playbook,apache,cargo,circleci,cypress,django,docker,docker-compose,elasticsearch,flutter,github-action,gradle,gradle-wrapper,hadoop-hbase,heroku,kafka,kubernetes,maven,maven-wrapper,mongodb,mysql,netlify,nginx,nodejs,poetry,postgresql,redis,spring,travis,tsconfig,zookeeper
axum,0,0,0,0,0,289,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunshine,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
MinerU,0,0,0,0,0,0,0,0,0,8,8,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
axios,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,5,0
docker-elk,0,0,0,0,0,0,0,0,0,6,47,4,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tauri,20,0,0,0,0,457,0,0,0,3,0,0,0,351,5,5,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,11,0
wagtail,0,0,0,0,0,0,44,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,126,24,0,0,0,0,0,0
shadPS4,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Panel,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
FiraCode,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
google-research,12,0,0,0,0,158,6,0,1,8,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,87,48,0,0,0,0,23,0
wasmer,0,0,0,0,0,817,0,0,0,4,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tdesktop,0,0,0,0,0,0,0,0,0,8,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
tensorflow,26,0,0,0,0,0,0,0,0,6,0,0,0,286,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradio,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,407,50,0,0,0,0,17,0
antlr4,0,0,0,0,0,0,0,0,0,6,0,0,11,59,0,0,0,0,0,0,226,0,0,0,0,0,46,12,0,0,0,0,0,0
vnpy,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,6,0
stats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vant,0,0,0,19,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,24,0
actual,0,0,0,0,0,0,0,0,0,4,19,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0
ImHex,0,0,0,0,0,0,0,0,0,6,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netbox,0,0,0,0,0,0,0,0,214,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,9,52,18,0,0,0,0,0,0
lossless-cut,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0
pnpm,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,779,0,0,0,0,0,26,0
yolov5,0,0,0,0,0,0,0,0,0,6,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
Docker-OSX,0,0,0,0,0,0,0,0,0,8,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taro,0,0,0,0,0,65,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,88,0
act,0,0,0,0,0,0,0,0,0,6,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdminLTE,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,2,0
swagger-ui,0,0,0,0,0,0,0,0,0,5,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0
uikit,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
jan,0,0,0,0,0,52,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,47,0
jquery,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0
openpilot,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
harness,0,0,0,0,0,0,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,34,0
openapi-generator,2,83,0,0,0,149,53,0,0,14,7,0,22,77,16,7,0,0,0,0,2632,2,0,0,0,0,241,66,0,0,48,22,42,0
kafka,0,0,0,0,0,0,0,0,0,10,158,0,0,409,7,8,0,0,32,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksdb,0,0,0,0,0,0,0,0,0,5,0,0,0,299,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
jsdom,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
cli,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
element-plus,0,0,0,0,0,0,6,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,21,0
sqlitebrowser,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
windows95,0,0,0,0,0,0,0,0,0,4,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,27,0
neovim,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rancher,0,0,0,0,0,0,0,0,0,8,0,0,0,296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angular-cli,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,57,0
