project,technologies
paperless-ngx,"['angular', 'codecov', 'crowdin', 'dependabot', 'devcontainer', 'django', 'docker', 'docker compose', 'docker-compose', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'json', 'mkdocs', 'nodejs', 'npm', 'pnpm', 'poetry', 'pre-commit', 'tsconfig', 'yaml']"
github1s,"['devcontainer', 'docker', 'github', 'github config', 'github-action', 'gitpod', 'json', 'nodejs', 'npm', 'tsconfig']"
vercel_next.js,"['biomejs', 'cargo', 'changesets', 'devcontainer', 'docker', 'eslint', 'github', 'github issues', 'github-action', 'json', 'lerna', 'npm', 'pnpm', 'prettier', 'rust', 'rustfmt', 'tsconfig', 'turborepo', 'typos', 'vercel', 'vscode', 'yaml']"
SwitchHosts,"['json', 'nodejs', 'npm', 'prettier', 'tsconfig']"
BitNet,['configparser']
Seal,"['android', 'configparser', 'github', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'toml']"
django-rest-framework,"['codecov', 'dependabot', 'django', 'github', 'github funding', 'github issues', 'github-action', 'mkdocs', 'pre-commit', 'tox']"
hcengineering_platform,"['babel', 'dependabot', 'docker', 'docker compose', 'github', 'github-action', 'json', 'mongodb', 'nodejs', 'npm', 'pnpm', 'toml', 'tsconfig', 'vscode', 'yaml']"
PowerToys,"['dependabot', 'github', 'github issues', 'github-action', 'json', 'yaml']"
typst,"['cargo', 'docker', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'rustfmt']"
backstage_backstage,"['ansible-playbook', 'azure pipelines', 'changesets', 'chart testing', 'codecov', 'configparser', 'devcontainer', 'docker', 'eslint', 'github', 'github issues', 'github-action', 'helm', 'json', 'kubernetes', 'mkdocs', 'npm', 'prometheus', 'tsconfig', 'yaml', 'yarn']"
uWebSockets,"['github-action', 'json']"
ghostty,"['dependabot', 'docker', 'github', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'snapscraft', 'typos', 'yaml']"
ink,"['npm', 'tsconfig']"
winget-cli,"['azure pipelines', 'dependabot', 'github', 'github issues', 'github-action', 'json', 'vcpkg', 'yaml']"
slick,"['bower', 'json', 'npm']"
react-three-fiber,"['changesets', 'eslint', 'github funding', 'github-action', 'json', 'npm', 'tsconfig']"
react,"['babel', 'circleci', 'dependabot', 'eslint', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'vercel', 'vscode']"
python-fire,"['dependabot', 'github-action', 'mkdocs']"
cobra,"['dependabot', 'github', 'github-action', 'golangci-lint']"
cheerio,"['ansible-playbook', 'crowdin', 'dependabot', 'github funding', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'yaml']"
firecracker,"['cargo', 'codecov', 'dependabot', 'docker', 'github-action', 'json', 'poetry', 'rust', 'toml', 'yaml']"
textual,"['deepsource', 'github funding', 'github issues', 'github-action', 'mypy', 'poetry', 'pre-commit', 'yaml']"
codemirror5,"['github funding', 'github-action', 'npm']"
preact,"['biomejs', 'github funding', 'github-action', 'json', 'nodejs', 'npm', 'oxc', 'tsconfig']"
react-native,"['android', 'apify', 'eslint', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'npm', 'toml', 'tsconfig', 'yaml']"
gin,"['codecov', 'dependabot', 'github-action', 'golangci-lint', 'goreleaser']"
ReactiveX_RxSwift,"['json', 'swiftlint', 'yaml']"
NewPipe,"['android', 'configparser', 'github', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json']"
dive,"['dependabot', 'docker', 'github', 'github funding', 'golangci-lint', 'goreleaser', 'yaml']"
LunarVim,"['github', 'github funding', 'github issues', 'github-action', 'json', 'pre-commit', 'stylua', 'toml']"
pandas,"['codecov', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'gitpod', 'json', 'poetry', 'pre-commit', 'yaml']"
wechat-app-mall,"['json', 'npm']"
fzf,"['dependabot', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'goreleaser', 'rubocop', 'typos']"
shadowsocks-android,"['android', 'circleci', 'github funding', 'gradle', 'gradle-wrapper', 'json', 'toml', 'travis', 'yaml']"
web-check,"['docker', 'docker-compose', 'flyio', 'github funding', 'github-action', 'json', 'netlify', 'npm', 'tsconfig', 'vercel', 'yaml']"
ILSpy,"['dependabot', 'docker', 'github funding', 'github-action', 'json', 'npm', 'vscode']"
headscale,"['buf', 'github', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'mkdocs', 'renovate', 'swagger', 'yaml']"
cilium_cilium,"['appveyor', 'azure pipelines', 'buf', 'cirrus', 'codecov', 'deepsource', 'devcontainer', 'docker', 'github', 'github issues', 'golangci-lint', 'goreleaser', 'helm', 'json', 'kubernetes', 'markdownlint', 'mockery', 'netlify', 'pre-commit', 'readthedocs', 'renovate', 'swagger', 'toml', 'travis', 'vscode', 'yaml']"
etcd,"['codecov', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'golangci-lint', 'json', 'swagger', 'yaml']"
jq,"['ansible-playbook', 'dependabot', 'docker', 'github-action']"
