project,cluster,num_options,num_files
fx,0,6,1
openui,0,6,1
insightface,1,2,1
screenshot-to-code,0,7,2
gpt-researcher,0,8,3
qlib,0,5,1
oh-my-posh,0,4,1
compose-multiplatform,0,7,4
kotaemon,0,7,1
ai-hedge-fund,0,6,1
OCRmyPDF,0,6,1
bettercap,0,7,1
serve,-1,4,1
wiki,0,8,4
ruff,0,7,1
traefik,0,7,1
ml-agents,0,5,1
AFFiNE,0,7,2
handsontable,0,4,1
litellm,0,11,4
dokku,0,9,8
ente,0,9,4
remotion,0,8,3
