cluster_id,num_projects,top_options
45,7,on.pull_request.types=opened:7; on.pull_request.types=synchronize:7; on.pull_request.types=reopened:6; on.pull_request.types=edited:4; jobs.update_release_draft.steps.env.GITHUB_TOKEN=${{ secrets.GITHUB_TOKEN }}:2; permissions.contents=read:2; permissions.pull-requests=write:2; on.pull_request.types=labeled:2; jobs.update_release_draft.runs-on=ubuntu-latest:2; jobs.update_release_draft.permissions.pull-requests=write:2
46,4,jobs.close-issues.permissions.pull-requests=write:3; jobs.close-issues.permissions.issues=write:3; jobs.close-issues.steps.with.repo-token=${{ secrets.GITHUB_TOKEN }}:3; jobs.close-issues.steps.with.stale-issue-label=stale:3; jobs.close-issues.steps.with.close-issue-message=This issue was closed because it has been inactive for 14 days since being marked as stale.:3; jobs.close-issues.steps.with.days-before-issue-close=14:3; jobs.close-issues.runs-on=ubuntu-latest:3; jobs.deploy.runs-on=ubuntu-latest:2; jobs.close-issues.steps.with.days-before-issue-stale=30:2; jobs.deploy.steps.with.path=.cache:2
47,5,jobs.build.runs-on=ubuntu-latest:4; jobs.build.steps.with.distribution=temurin:3; jobs.build.steps.uses=actions/upload-artifact@v4:3; jobs.build.steps.uses=actions/checkout@v4:3; jobs.build.steps.name=Build:2; jobs.build.steps.name=Checkout:2; name=Validate Fastlane metadata:2; on.push.branches=master:2; permissions.contents=read:2; jobs.go.steps.uses=actions/checkout@v4:2
48,3,jobs.analysis.steps.uses=actions/upload-artifact@ea165f8d65b6e75b540449e92b4886f43607fa02:3; jobs.lint.steps.name=Check Package Licenses:3; jobs.lint.steps.name=Check commit message:3; jobs.lint.steps.name=Initialize environment:3; jobs.lint.steps.name=Install node modules:3; jobs.analysis.steps.name=Upload to code-scanning:3; jobs.analysis.steps.name=Upload artifact:3; jobs.analysis.steps.name=Run analysis:3; jobs.test.steps.run=pnpm install --frozen-lockfile:3; jobs.analysis.steps.name=Checkout code:3
49,9,name=Release:5; jobs.release.runs-on=ubuntu-latest:5; permissions.contents=read:4; on=push:4; jobs.release.steps.env.GITHUB_TOKEN=${{ secrets.GITHUB_TOKEN }}:4; jobs.release.permissions.contents=write:4; jobs.release.steps.uses=actions/checkout@v4:4; jobs.release.permissions.id-token=write:3; on.push.branches=main:3; on.push.branches=master:3
50,3,name=Validate Gradle Wrapper:3; jobs.validation.runs-on=ubuntu-latest:3; jobs.validation.name=Validation:3; on=push:3; permissions.contents=read:2; jobs.validation.steps.uses=actions/checkout@v4:2; on=pull_request:2; jobs.build.steps.uses=actions/setup-java@v3:1; on=workflow_dispatch:1; on.push.tags=v*:1
51,7,on=push:2; on=pull_request:2; permissions.contents=read:2; on.release.types=published:2; jobs.build.runs-on=ubuntu-latest:2; on.push.branches=main:1; jobs.update.runs-on=ubuntu-latest:1; jobs.upload.runs-on=ubuntu-latest:1; name=Production:1; jobs.release.steps.with.node-version=14:1
52,9,jobs.deploy.needs=build:8; jobs.deploy.steps.uses=actions/deploy-pages@v4:8; jobs.deploy.environment.url=${{ steps.deployment.outputs.page_url }}:8; jobs.deploy.runs-on=ubuntu-latest:8; jobs.deploy.steps.id=deployment:8; on.push.branches=main:7; jobs.build.runs-on=ubuntu-latest:7; jobs.build.steps.uses=actions/upload-pages-artifact@v3:6; jobs.deploy.environment.name=github-pages:6; jobs.build.steps.uses=actions/checkout@v4:6
53,5,on=push:5; on=pull_request:5; on.schedule.cron=0 9 * * *:1; on=workflow_dispatch:1; jobs.build-and-test.runs-on=ubuntu-latest:1; name=Node.js CI:1; jobs.build-macos.steps.name=Build:1; jobs.build-macos.runs-on=macos-13:1; name=main:1; name=Static Analysis:1
54,12,on.push.branches=master:8; name=CI:3; on=push:3; on.pull_request.branches=master:2; permissions.contents=read:2; on.push.branches=main:2; on=pull_request:2; name=Build and test:1; jobs.build.steps.name=Build:1; name=Pull Request Labeler:1
55,21,jobs.analysis.steps.name=Upload to code-scanning:21; jobs.analysis.steps.with.path=results.sarif:21; jobs.analysis.permissions.security-events=write:21; jobs.analysis.steps.with.results_format=sarif:21; jobs.analysis.steps.name=Checkout code:21; jobs.analysis.steps.name=Upload artifact:21; jobs.analysis.steps.with.persist-credentials=false:21; jobs.analysis.steps.with.publish_results=true:21; jobs.analysis.steps.with.sarif_file=results.sarif:21; jobs.analysis.steps.with.results_file=results.sarif:21
56,7,jobs.build.steps.with.node-version=${{ matrix.node-version }}:7; jobs.build.steps.name=Use Node.js ${{ matrix.node-version }}:7; jobs.build.runs-on=ubuntu-latest:6; jobs.build.strategy.matrix.node-version=20.x:5; on.push.branches=master:5; jobs.build.steps.uses=actions/checkout@v4:5; on.pull_request.branches=master:4; name=Node.js CI:4; jobs.build.steps.uses=actions/setup-node@v4:4; jobs.build.strategy.matrix.node-version=18.x:4
57,38,jobs.analyze.steps.name=Initialize CodeQL:38; jobs.analyze.steps.with.languages=${{ matrix.language }}:37; jobs.analyze.steps.name=Perform CodeQL Analysis:37; jobs.analyze.strategy.fail-fast=false:37; jobs.analyze.steps.name=Checkout repository:34; jobs.analyze.name=Analyze:34; name=CodeQL:33; jobs.analyze.permissions.security-events=write:32; jobs.analyze.permissions.contents=read:31; jobs.analyze.runs-on=ubuntu-latest:30
58,6,jobs.build-and-push-image.steps.name=Log in to the Container registry:6; jobs.build-and-push-image.runs-on=ubuntu-latest:6; jobs.build-and-push-image.steps.name=Set up QEMU:6; jobs.build-and-push-image.steps.name=Set up Docker Buildx:6; jobs.build-and-push-image.steps.with.context=.:6; jobs.build-and-push-image.steps.with.labels=${{ steps.meta.outputs.labels }}:6; jobs.build-and-push-image.steps.with.password=${{ secrets.GITHUB_TOKEN }}:6; jobs.build-and-push-image.steps.with.push=true:6; jobs.build-and-push-image.steps.with.registry=${{ env.REGISTRY }}:6; jobs.build-and-push-image.steps.with.username=${{ github.actor }}:6
