project,cluster,num_options,num_files
jquery,-1,128,3
harness,-1,186,2
openapi-generator,-1,241,70
jsdom,-1,66,1
element-plus,-1,241,16
windows95,-1,37,1
angular-cli,-1,324,22
hono,-1,404,7
webtorrent,-1,127,1
airflow,-1,151,5
prometheus,-1,168,5
config,2,4,1
slint,-1,207,14
draggable,-1,110,2
saleor,1,12,1
coc.nvim,-1,85,1
mjml,-1,98,34
bruno,-1,283,14
mkdocs-material,-1,84,1
dashy,-1,79,1
outline,-1,371,1
mlc-llm,-1,17,1
docusaurus,-1,447,49
void,-1,4071,104
streamlit,-1,270,9
filebrowser,-1,71,2
ice,-1,507,81
webpack,-1,177,4
AnotherRedisDesktopManager,-1,149,2
slidev,-1,369,15
tiptap,-1,452,71
Leaflet,-1,59,1
apollo-client,-1,239,9
ArchiveBox,1,9,1
parcel,-1,589,163
mermaid,-1,225,8
json-server,-1,44,1
bit,-1,71,1
postiz-app,-1,285,8
chatwoot,-1,140,1
react-navigation,-1,161,14
n8n,-1,1758,48
fingerprintjs,-1,52,1
canal,-1,51,1
frigate,-1,149,2
EasySpider,-1,79,2
portainer,-1,230,1
linera-protocol,0,94,9
shap,-1,34,2
three.js,-1,82,2
flow,-1,238,12
OpenManus,1,12,1
spring-boot,-1,12,1
LocalAI,1,12,1
heroui,-1,464,90
video.js,-1,162,1
Perplexica,-1,59,1
yazi,1,6,1
etherpad-lite,-1,165,6
Karabiner-Elements,-1,18,1
llvm-project,-1,402,4
redux,-1,135,14
sst,-1,360,171
pyscript,-1,80,2
fastify,-1,85,1
maybe,1,10,1
JeecgBoot,-1,166,1
lexical,-1,1103,41
lerna,-1,315,513
minio,1,4,1
incubator-seata,-1,110,2
blueprint,-1,271,22
components,-1,252,30
ollama,-1,72,1
novu,-1,1112,54
source-code-hunter,-1,5,1
zustand,-1,124,3
autogen,-1,46,1
llama.cpp,-1,65,4
bagisto,-1,26,4
query,-1,374,91
create-t3-app,-1,139,4
react-hook-form,-1,116,2
TypeScript,-1,87,1
monaco-editor,-1,136,15
everyone-can-use-english,-1,245,7
cal.com,-1,779,144
unleashed-firmware,-1,20,3
fullPage.js,-1,51,4
v86,-1,13,1
ionicons,-1,60,1
guidance,-1,100,2
rust,-1,1017,3
react-scan,-1,245,6
mantine,-1,301,28
amis,-1,391,11
ToolJet,-1,702,83
joplin,-1,759,34
srs,2,6,1
OpenHands,-1,201,5
darkreader,-1,88,2
ava,-1,88,9
photoprism,-1,132,1
discord.js,-1,283,29
Tasmota,-1,18,1
union,-1,310,12
remix,-1,386,42
marked,-1,72,1
firefly-iii,-1,51,3
v,1,13,1
changedetection.io,1,11,2
CopilotKit,-1,400,60
distroless,1,8,2
vitess,-1,84,1
express,-1,61,1
code-server,-1,108,1
homebridge,-1,56,1
generator-jhipster,-1,312,8
decap-cms,-1,380,38
weui,1,34,1
appium,-1,288,21
kuboard-press,-1,34,1
nginx-proxy-manager,-1,89,3
zed,-1,375,2
nocodb,-1,489,10
MediaCrawler,-1,4,1
sweetalert2,-1,49,1
go,-1,15,1
mem0,-1,226,11
nanoid,-1,68,1
graphql-js,-1,69,3
netron,-1,34,1
js-cookie,-1,52,3
starship,-1,4,1
wekan,-1,52,3
shields,-1,203,4
kit,-1,156,13
terraform,-1,9,1
opentofu,-1,21,1
autocomplete,-1,54,1
react-native-web,-1,125,6
obs-studio,-1,5,2
jsoncrack.com,-1,74,1
DoKit,-1,80,6
vector,-1,58,1
backbone,-1,37,2
graphql,-1,855,100
KaTeX,-1,154,6
