project,cluster,num_options,num_files
photoprism,57,12,1
spacemacs,-1,28,2
bubbletea,14,55,7
discord.js,-1,142,11
Tasmota,-1,297,16
union,-1,210,12
chi,-1,17,1
remix,-1,306,13
Mindustry,50,30,4
go-zero,57,58,5
firefly-iii,-1,113,10
v,-1,637,43
changedetection.io,-1,66,3
fuel-core,8,372,10
CopilotKit,-1,233,12
distroless,55,30,4
whisper,-1,14,1
vitess,-1,231,82
express,55,69,4
homebridge,-1,39,9
docling,37,108,8
generator-jhipster,-1,346,24
decap-cms,16,59,4
trufflehog,-1,78,6
x64dbg,34,26,1
Hyprland,-1,88,7
yt-dlp,-1,344,9
appium,-1,103,12
elixir,-1,173,4
nginx-proxy-manager,-1,13,1
zed,-1,520,19
nocodb,-1,507,27
nginx-proxy,-1,43,3
MediaCrawler,52,23,1
sweetalert2,44,19,3
k3s,55,165,7
llm.c,54,49,2
Ehviewer_CN_SXJ,47,14,2
mem0,19,46,2
Alamofire,16,133,1
ComfyUI,-1,151,10
jdk,18,327,6
nanoid,21,23,2
graphql-js,6,171,5
egui,15,185,10
deno,-1,213,8
netron,-1,44,2
redisson,57,34,2
gkd,-1,31,2
js-cookie,25,55,3
pytorch-lightning,15,419,20
starship,-1,254,7
testify,22,17,2
wekan,33,31,3
shields,20,134,12
polars,-1,254,13
localstack,22,239,19
mpv,-1,189,6
kit,49,95,3
terraform,-1,250,7
pingora,30,38,4
guava,55,71,3
cadvisor,13,53,2
opentofu,4,178,7
autocomplete,34,48,5
react-native-web,-1,22,3
HikariCP,-1,12,1
kivy,28,231,7
jsoncrack.com,52,53,2
vector,37,1243,36
tinygrad,-1,150,6
tmux,21,15,1
nowinandroid,39,21,1
graphql,55,368,9
KaTeX,-1,99,4
Langchain-Chatchat,-1,84,3
vulhub,-1,49,3
gradle,-1,188,14
posthog,0,1304,39
YesPlayMusic,-1,21,1
bitcoin,30,471,2
argo-cd,31,68,4
jumpserver,-1,156,14
redoc,-1,81,2
dayjs,-1,31,2
flink,-1,250,8
teleport,57,15,1
servers,-1,121,3
budibase,-1,214,11
aider,52,81,7
FastGPT,30,236,7
uv,0,1149,7
diffusers,1,148,14
rembg,22,54,5
helm,55,72,5
tesseract.js,57,20,2
framework,-1,347,41
tabby,19,268,13
curl,-1,685,15
acme.sh,-1,416,18
uni-app,-1,36,2
excalidraw,19,88,10
delta,34,99,4
quasar,10,80,4
vite,-1,146,9
minikube,-1,1069,63
trpc,-1,207,12
xxl-job,51,10,1
sway,8,354,6
python-telegram-bot,-1,163,11
validator.js,57,33,3
semantic-kernel,-1,197,14
koa,56,10,1
relay,24,150,4
black,-1,132,9
hosts,-1,48,3
yoga,-1,86,8
fyne,53,11,1
glide,50,14,2
refine,-1,290,8
meilisearch,-1,279,19
highlight.js,-1,43,4
teable,-1,84,4
Files,-1,114,6
k9s,46,25,3
Apollo-11,54,14,2
apollo,-1,67,6
gun,-1,24,1
hackathon-starter,56,13,1
agentic,-1,26,4
pulumi,-1,899,25
chinese-independent-blogs,37,16,2
diagrams,29,14,2
focalboard,55,102,6
mypy,-1,78,5
vscodium,-1,299,10
you-get,-1,10,1
LightRAG,13,35,2
pytorch,-1,10492,95
neon,10,1324,34
trilium,26,298,10
gitui,-1,111,4
RxJava,55,46,7
logseq,-1,333,15
pyenv,37,58,4
uppy,-1,257,10
SteamTools,-1,83,5
AppFlowy,16,218,8
open-webui,-1,32,3
ChatTTS,-1,69,5
pixijs,31,45,5
laravel,19,10,3
mybatis-3,57,20,1
django,-1,150,10
xterm.js,-1,95,4
openai-python,-1,81,4
diff-so-fancy,42,7,1
Real-Time-Voice-Cloning,37,6,1
etcher,-1,20,2
phaser,24,12,1
twenty,-1,29,1
facefusion,21,20,1
pdf.js,-1,49,5
bootstrap,-1,139,14
wezterm,-1,142,43
Mobile-Security-Framework-MobSF,57,45,4
huginn,29,56,1
redash,4,146,4
eleventy,-1,49,4
simple-icons,-1,208,8
drawio-desktop,19,53,4
node-red,37,18,1
devdocs,13,42,3
lazygit,-1,126,5
memos,-1,94,6
yfinance,-1,33,5
commander.js,57,14,1
bat,5,107,3
numpy,-1,568,19
RSSHub,-1,219,11
core-js,28,65,2
sentry,-1,677,27
QtScrcpy,-1,46,3
pure,29,13,1
helix,4,112,4
sops,-1,137,5
TDengine,-1,108,8
matomo,-1,146,13
uptime-kuma,-1,73,7
electron,-1,845,24
GSYVideoPlayer,-1,31,2
react-bootstrap,-1,21,1
FastChat,51,10,1
dapr,10,376,9
flatbuffers,-1,351,6
pipenv,-1,27,2
peft,1,136,8
openzeppelin-contracts,-1,197,7
payload,-1,410,12
ladybird,10,222,14
seaweedfs,-1,278,21
cpython,-1,519,21
bazel,55,91,6
excelize,-1,26,2
chroma,-1,524,13
calibre,-1,36,2
netdata,-1,1042,19
electron-react-boilerplate,57,28,2
eruda,36,16,2
timescaledb,51,6,1
okhttp,29,224,3
docsify,29,34,2
supabase,-1,328,23
alacritty,29,27,2
cube,-1,1158,12
terminal,32,82,3
langchain,-1,311,11
tree-sitter,-1,182,12
lighthouse,-1,147,6
penpot,45,35,2
cobalt,58,51,5
HandBrake,20,88,7
Wox,-1,33,2
localsend,5,185,7
glances,-1,139,8
lede,51,17,1
siyuan,10,97,4
smolagents,1,31,5
firecrawl,4,38,6
Genesis,51,41,2
tailwindcss,-1,115,4
directus,-1,223,12
bcc,-1,48,3
fiber,-1,98,9
OpenClash,-1,120,9
colly,3,25,1
ace,-1,55,5
json,-1,262,12
brave-browser,-1,31,4
selenium,-1,724,23
ws,-1,26,1
goaccess,29,46,4
onlook,-1,7,2
dev-sidecar,-1,53,2
insomnia,-1,284,7
ripgrep,8,84,2
bun,-1,342,23
xbmc,-1,75,5
rclone,-1,143,5
manim,-1,22,2
eslint,57,140,8
statsd,10,17,1
refined-github,44,79,5
FreeTube,-1,146,15
leetcode,-1,88,9
react-spring,-1,52,4
invoke-ai_InvokeAI,37,185,12
Inquirer.js,57,80,2
godot,-1,192,9
wg-easy,-1,129,7
AgentGPT,-1,64,4
scrcpy,-1,103,1
vagrant,-1,78,14
cypress,-1,184,9
leptos,-1,111,8
zellij,-1,101,3
fish-shell,-1,97,6
gatsby,18,22,1
taipy,-1,322,15
tornado,9,44,1
opencv,41,10,2
prophet,51,47,1
asdf,-1,69,5
joi,54,4,1
hugo,-1,79,5
vue2-elm,11,9,1
Chat2DB,-1,57,2
ray,29,6,1
intro.js,56,9,1
Magisk,42,69,1
raylib,-1,86,10
youtube-music,-1,77,4
RustPython,-1,50,2
fastai,37,32,3
theia,-1,141,9
servo_servo,-1,589,19
crystal,-1,415,21
github-readme-stats,-1,137,11
fastapi,-1,187,13
