project,cluster,num_options,num_files
searxng,-1,35,1
keycloak,-1,25,5
NativeScript,-1,35,9
wails,-1,35,7
langflow,10,57,2
openui,9,21,1
gpt-researcher,11,22,1
ant-design,-1,46,3
zod,11,34,5
yup,-1,4,1
slate,11,31,9
sequelize,-1,7,13
typeorm,-1,35,3
dub,-1,52,9
ruff,9,20,2
AFFiNE,-1,35,102
handsontable,-1,59,26
litellm,11,21,3
OpenBB,-1,36,3
tabler-icons,-1,21,6
ente,1,8,27
remotion,-1,89,83
