Concept,Option
yaml,spring.security.oauth2.client.registration.<fill-in-the-registration-name-here>.authorization-grant-type
yaml,spring.security.oauth2.client.registration.<fill-in-the-registration-name-here>.client-authentication-method
yaml,spring.security.oauth2.client.registration.<fill-in-the-registration-name-here>.client-id
yaml,spring.security.oauth2.client.registration.<fill-in-the-registration-name-here>.client-secret
yaml,spring.security.oauth2.client.registration.<fill-in-the-registration-name-here>.provider
yaml,spring.security.oauth2.client.registration.<fill-in-the-registration-name-here>.scope
yaml,spring.security.oauth2.client.registration.registration-name-client.authorization-grant-type
yaml,spring.security.oauth2.client.registration.registration-name-client.client-authentication-method
yaml,spring.security.oauth2.client.registration.registration-name-client.client-id
yaml,spring.security.oauth2.client.registration.registration-name-client.client-secret
yaml,spring.security.oauth2.client.registration.registration-name-client.provider
yaml,spring.security.oauth2.client.registration.registration-name-client.scope
yaml,spring.security.oauth2.client.registration.registration-name.authorization-grant-type
yaml,spring.security.oauth2.client.registration.registration-name.client-authentication-method
yaml,spring.security.oauth2.client.registration.registration-name.client-id
yaml,spring.security.oauth2.client.registration.registration-name.client-secret
yaml,spring.security.oauth2.client.registration.registration-name.provider
yaml,spring.security.oauth2.client.registration.registration-name.scope
yaml,spring.security.oauth2.resourceserver.jwt.issuer-uri
yaml,ctrip.appid
yaml,ctrip.email.send.code
yaml,ctrip.email.survival.duration
yaml,ctrip.email.template.id
yaml,ldap.mapping.login-id
yaml,ldap.mapping.object-class
yaml,ldap.mapping.user-display-name
yaml,spring.ldap.search-filter
yaml,ldap.mapping.rdn-key
yaml,apiVersion
yaml,generated
yaml,spec.ports.nodePort
yaml,spec.template.spec.containers.env.name
yaml,spec.template.spec.containers.env.value
yaml,spec.template.spec.containers.volumeMounts.mountPath
yaml,spec.template.spec.containers.volumeMounts.name
yaml,spec.template.spec.volumes.hostPath.path
yaml,spec.template.spec.volumes.name
yaml,spec.type
yaml,data.application-github.properties
yaml,spec.ports.port
yaml,spec.ports.protocol
yaml,spec.ports.targetPort
yaml,spec.replicas
yaml,spec.selector.app
yaml,spec.selector.matchLabels.app
yaml,spec.sessionAffinity
yaml,spec.strategy.rollingUpdate.maxSurge
yaml,spec.strategy.rollingUpdate.maxUnavailable
yaml,spec.strategy.type
yaml,spec.template.metadata.labels.app
yaml,spec.template.spec.affinity.podAntiAffinity.preferredDuringSchedulingIgnoredDuringExecution.podAffinityTerm.labelSelector.matchExpressions.key
yaml,spec.template.spec.affinity.podAntiAffinity.preferredDuringSchedulingIgnoredDuringExecution.podAffinityTerm.labelSelector.matchExpressions.operator
yaml,spec.template.spec.affinity.podAntiAffinity.preferredDuringSchedulingIgnoredDuringExecution.podAffinityTerm.labelSelector.matchExpressions.values
yaml,spec.template.spec.affinity.podAntiAffinity.preferredDuringSchedulingIgnoredDuringExecution.podAffinityTerm.topologyKey
yaml,spec.template.spec.affinity.podAntiAffinity.preferredDuringSchedulingIgnoredDuringExecution.weight
yaml,spec.template.spec.containers.image
yaml,spec.template.spec.containers.imagePullPolicy
yaml,spec.template.spec.containers.livenessProbe.initialDelaySeconds
yaml,spec.template.spec.containers.livenessProbe.periodSeconds
yaml,spec.template.spec.containers.livenessProbe.tcpSocket.port
yaml,spec.template.spec.containers.name
yaml,spec.template.spec.containers.ports.containerPort
yaml,spec.template.spec.containers.ports.protocol
yaml,spec.template.spec.containers.readinessProbe.initialDelaySeconds
yaml,spec.template.spec.containers.readinessProbe.periodSeconds
yaml,spec.template.spec.containers.readinessProbe.tcpSocket.port
yaml,spec.template.spec.containers.securityContext.privileged
yaml,spec.template.spec.containers.volumeMounts.subPath
yaml,spec.template.spec.dnsPolicy
yaml,spec.template.spec.initContainers.image
yaml,spec.template.spec.initContainers.name
yaml,spec.template.spec.nodeSelector.node
yaml,spec.template.spec.restartPolicy
yaml,spec.template.spec.volumes.configMap.items.key
yaml,spec.template.spec.volumes.configMap.items.path
yaml,spec.template.spec.volumes.configMap.name
yaml,spec.clusterIP
yaml,spec.serviceName
yaml,spec.updateStrategy.type
yaml,metadata.labels.app
yaml,subsets.addresses.ip
yaml,subsets.ports.port
yaml,subsets.ports.protocol
yaml,data.apollo-env.properties
yaml,appVersion
yaml,home
yaml,icon
yaml,maintainers.email
yaml,maintainers.name
yaml,maintainers.url
yaml,type
yaml,config.contextPath
yaml,config.envs
yaml,config.profiles
yaml,containerPort
yaml,fullNameOverride
yaml,image.pullPolicy
yaml,image.repository
yaml,image.tag
yaml,ingress.enabled
yaml,ingress.hosts.host
yaml,liveness.initialDelaySeconds
yaml,liveness.periodSeconds
yaml,portaldb.connectionStringProperties
yaml,portaldb.dbName
yaml,portaldb.name
yaml,portaldb.port
yaml,portaldb.service.enabled
yaml,portaldb.service.fullNameOverride
yaml,portaldb.service.port
yaml,portaldb.service.type
yaml,readiness.initialDelaySeconds
yaml,readiness.periodSeconds
yaml,replicaCount
yaml,service.fullNameOverride
yaml,service.port
yaml,service.sessionAffinity
yaml,service.targetPort
yaml,service.type
yaml,adminService.config.contextPath
yaml,adminService.config.profiles
yaml,adminService.containerPort
yaml,adminService.fullNameOverride
yaml,adminService.image.pullPolicy
yaml,adminService.image.repository
yaml,adminService.image.tag
yaml,adminService.ingress.enabled
yaml,adminService.ingress.hosts.host
yaml,adminService.liveness.initialDelaySeconds
yaml,adminService.liveness.periodSeconds
yaml,adminService.name
yaml,adminService.readiness.initialDelaySeconds
yaml,adminService.readiness.periodSeconds
yaml,adminService.replicaCount
yaml,adminService.service.fullNameOverride
yaml,adminService.service.port
yaml,adminService.service.targetPort
yaml,adminService.service.type
yaml,configService.config.adminServiceUrlOverride
yaml,configService.config.configServiceUrlOverride
yaml,configService.config.contextPath
yaml,configService.config.profiles
yaml,configService.containerPort
yaml,configService.fullNameOverride
yaml,configService.image.pullPolicy
yaml,configService.image.repository
yaml,configService.image.tag
yaml,configService.ingress.enabled
yaml,configService.ingress.hosts.host
yaml,configService.liveness.initialDelaySeconds
yaml,configService.liveness.periodSeconds
yaml,configService.name
yaml,configService.readiness.initialDelaySeconds
yaml,configService.readiness.periodSeconds
yaml,configService.replicaCount
yaml,configService.service.fullNameOverride
yaml,configService.service.port
yaml,configService.service.targetPort
yaml,configService.service.type
yaml,configdb.connectionStringProperties
yaml,configdb.dbName
yaml,configdb.host
yaml,configdb.name
yaml,configdb.password
yaml,configdb.port
yaml,configdb.service.enabled
yaml,configdb.service.fullNameOverride
yaml,configdb.service.port
yaml,configdb.service.type
yaml,configdb.userName
yaml,aliyun.oss.accessKeyId
yaml,aliyun.oss.accessKeySecret
yaml,aliyun.oss.bucketName
yaml,aliyun.oss.callback
yaml,aliyun.oss.dir.prefix
yaml,aliyun.oss.endpoint
yaml,aliyun.oss.maxSize
yaml,aliyun.oss.policy.expire
yaml,logging.level.com.macro.mall
yaml,logstash.host
yaml,minio.accessKey
yaml,minio.bucketName
yaml,minio.endpoint
yaml,minio.secretKey
yaml,spring.data.redis.database
yaml,spring.data.redis.host
yaml,spring.data.redis.port
yaml,spring.data.redis.timeout
yaml,spring.security.oauth2.resourceserver.jwt.jwk-set-uri
yaml,alipay.alipayPublicKey
yaml,alipay.appId
yaml,alipay.appPrivateKey
yaml,alipay.gatewayUrl
yaml,alipay.returnUrl
yaml,spring.elasticsearch.rest.uris
yaml,spring.elasticsearch.uris
yaml,management.health.elasticsearch.response-timeout
yaml,kind
yaml,metadata.name
yaml,metadata.namespace
yaml,spec.template.spec.volumes.hostPath.type
yaml,spec.ports.name
yaml,logging.path
yaml,logging.level.com.macro.mall.demo.service.FeignAdminService
yaml,spring.redis.password
yaml,spring.data.elasticsearch.cluster-name
yaml,spring.data.elasticsearch.cluster-nodes
