Concept,Option
spring,zuul.routes.ui.serviceId
spring,mybatis.mapperLocations
spring,server.tomcat.max-threads
spring,server.tomcat.min-spare-threads
spring,spring.datasource.driverClassName
spring,management.endpoints.web.exposure.exclude
spring,sample.zipkin.enabled
spring,spring.cloud.nacos.config.file-extension
spring,spring.cloud.nacos.config.server-addr
spring,spring.cloud.nacos.discovery.cluster-name
spring,spring.cloud.nacos.sleuth.enabled
spring,spring.cloud.nacos.sleuth.sample.zipkin.enabled
spring,spring.sentinel.transport.dashboard
spring,spring.sleuth.sample.zipkin.enabled
spring,swagger.base-package
spring,swagger.contact.name
spring,swagger.description
spring,swagger.enabled
spring,swagger.title
spring,swagger.version
spring,logging.level.com.github.wxiaoqi.cloud.gate.v2
spring,spring.main.allow-bean-definition-overriding
spring,spring.sample-datasource.driver-class-name
spring,spring.sample-datasource.name
spring,spring.sample-datasource.password
spring,spring.sample-datasource.type
spring,spring.sample-datasource.url
spring,spring.sample-datasource.username
spring,spring.security.oauth2.resourceserver.jwt.jwk-set-uri
spring,logging.level.com.github.wxiaoqi.security.sample
spring,logging.level.com.github.wxiaoqi
spring,oss.qiniuAccessKey
spring,oss.qiniuBucketName
spring,oss.qiniuDomain
spring,oss.qiniuPrefix
spring,oss.qiniuSecretKey
spring,oss.type
spring,search.lucence.path
spring,spring.datasource.clientId
spring,sidecar.health.uri
spring,sidecar.port
spring,back.ribbon.NFLoadBalancerRuleClassName
spring,apollo.audit.log.enabled
spring,spring.profiles.group.github
spring,ctrip.appid
spring,eureka.client.eureka-service-url-poll-interval-seconds
spring,eureka.client.eurekaServiceUrlPollIntervalSeconds
spring,eureka.client.healthcheck.enabled
spring,eureka.instance.health-check-url-path
spring,eureka.instance.hostname
spring,eureka.instance.status-page-url-path
spring,logging.file
spring,logging.level.org.springframework.cloud
spring,management.health.status.order
spring,spring.cloud.zookeeper.enabled
spring,spring.jpa.properties.hibernate.metadata_builder_contributor
spring,eureka.client.fetch-registry
spring,eureka.client.register-with-eureka
spring,eureka.server.enable-self-preservation
spring,eureka.server.enableSelfPreservation
spring,eureka.server.peer-eureka-nodes-update-interval-ms
spring,eureka.server.peerEurekaNodesUpdateIntervalMs
spring,management.health.ldap.enabled
spring,server.servlet.session.cookie.same-site
spring,server.tomcat.use-relative-redirects
spring,spring.session.store-type
spring,server.tomcat.accept-count
spring,server.tomcat.acceptor-count
spring,spring.datasource.testonborrow
spring,spring.datasource.testwhileidle
spring,spring.datasource.validationquery
spring,spring.h2.console.enabled
spring,spring.h2.console.settings.web-allow-others
spring,spring.jpa.hibernate.globally_quoted_identifiers
spring,spring.jpa.hibernate.naming_strategy
spring,spring.jpa.properties.hibernate.globally_quoted_identifiers
spring,spring.jpa.properties.hibernate.show_sql
spring,logging.file.max-history
spring,logging.file.max-size
spring,logging.logback.rollingpolicy.max-file-size
spring,logging.logback.rollingpolicy.max-history
spring,management.endpoints.web.base-path
spring,server.max-http-header-size
spring,server.tomcat.maxhttpheadersize
spring,spring.datasource.hikari.connectioninitsql
spring,spring.datasource.initsql
spring,spring.datasource.validationinterval
spring,spring.datasource.validatorclassname
spring,spring.http.converters.preferred-json-mapper
spring,spring.info.git.location
spring,spring.jpa.hibernate.naming.physical-strategy
spring,spring.mvc.converters.preferred-json-mapper
spring,apollo.bar
spring,apollo.foo
spring,apollo.bootstrap.eagerLoad.enabled
spring,apollo.bootstrap.enabled
spring,apollo.bootstrap.namespaces
spring,logging.level
spring,apollo.portal.env
spring,endpoints.health.sensitive
spring,endpoints.shutdown.enabled
spring,spring.jpa.properties.hibernate.query.plan_cache_max_size
spring,spring.resources.cache-period
spring,spring.resources.cache.cachecontrol.max-age
spring,spring.session.jdbc.initialize-schema
spring,eureka.client.registry-fetch-interval-seconds
spring,feign.client.config.default.loggerLevel
spring,spring.cloud.config.server.git.clone-on-start
spring,spring.cloud.config.server.git.password
spring,spring.cloud.config.server.git.search-paths
spring,spring.cloud.config.server.git.username
spring,logging.level.org.springframework.cloud.gateway
spring,spring.cloud.gateway.discovery.locator.enabled
spring,spring.cloud.gateway.discovery.locator.lower-case-service-id
spring,zuul.add-host-header
spring,spring.boot.admin.discovery.ignored-services
spring,spring.security.user.name
spring,mall-oauth-url
spring,security.oauth2.client.access-token-uri
spring,security.oauth2.client.client-id
spring,security.oauth2.client.client-secret
spring,security.oauth2.client.user-authorization-uri
spring,security.oauth2.resource.jwt.key-uri
spring,server.servlet.session.cookie.name
spring,spring.data.elasticsearch.cluster-name
